,TumbleDryer,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.001,0.054,0.0,0.0
2024-01-01 00:15:00,0.001,0.054,0.0,0.0
2024-01-01 00:30:00,0.001,0.054,0.0,0.0
2024-01-01 00:45:00,0.001,0.11733333333333333,0.0,0.0
2024-01-01 01:00:00,0.001,0.24400000000000002,0.0,0.0
2024-01-01 01:15:00,0.001,0.10466666666666667,0.0,0.0
2024-01-01 01:30:00,0.001,0.054,0.0,0.0
2024-01-01 01:45:00,0.001,0.054,0.0,0.0
2024-01-01 02:00:00,0.001,0.054,0.0,0.0
2024-01-01 02:15:00,0.001,0.2313333333333333,0.0,0.0
2024-01-01 02:30:00,0.001,0.18066666666666667,0.0,0.0
2024-01-01 02:45:00,0.001,0.054,0.0,0.0
2024-01-01 03:00:00,0.001,0.054,0.0,0.0
2024-01-01 03:15:00,0.001,0.054,0.0,0.0
2024-01-01 03:30:00,0.001,0.15533333333333335,0.0,0.0
2024-01-01 03:45:00,0.001,0.24400000000000002,0.0,0.0
2024-01-01 04:00:00,0.001,0.06666666666666667,0.0,0.0
2024-01-01 04:15:00,0.001,0.054,0.0,0.0
2024-01-01 04:30:00,0.001,0.054,0.0,0.0
2024-01-01 04:45:00,0.001,0.07933333333333333,0.0,0.0
2024-01-01 05:00:00,0.001,0.24400000000000002,0.0,0.0
2024-01-01 05:15:00,0.001,0.14266666666666666,0.0,0.0
2024-01-01 05:30:00,0.001,0.054,0.0,0.0
2024-01-01 05:45:00,0.001,0.054,0.0,0.0
2024-01-01 06:00:00,0.001,0.054,0.0,0.0
2024-01-01 06:15:00,0.001,0.19333333333333333,0.0,0.0
2024-01-01 06:30:00,0.001,0.21866666666666665,0.0,0.0
2024-01-01 06:45:00,0.001,0.054,0.0,0.0
2024-01-01 07:00:00,0.001,0.054,0.0,0.0
2024-01-01 07:15:00,0.001,0.054,0.0,0.0
2024-01-01 07:30:00,0.001,0.11733333333333333,0.0,0.0
2024-01-01 07:45:00,0.001,0.24400000000000002,0.0,0.0
2024-01-01 08:00:00,0.001,0.10466666666666667,0.0,0.0
2024-01-01 08:15:00,0.001,0.054,0.0,0.0
2024-01-01 08:30:00,0.001,0.05486666666666666,0.0,0.0
2024-01-01 08:45:00,0.001,0.067,0.0,0.6
2024-01-01 09:00:00,0.001,0.24433333333333335,0.0,2.2
2024-01-01 09:15:00,0.001,0.19366666666666668,0.0,0.0
2024-01-01 09:30:00,0.001,0.067,0.0,0.0
2024-01-01 09:45:00,0.001,0.06266666666666668,0.0,0.0
2024-01-01 10:00:00,0.001,0.054,0.0,0.0
2024-01-01 10:15:00,0.001,0.15533333333333335,0.0,0.0
2024-01-01 10:30:00,0.001,0.24400000000000002,0.0,0.0
2024-01-01 10:45:00,0.001,0.06666666666666667,0.0,0.0
2024-01-01 11:00:00,0.001,0.054,0.0,0.0
2024-01-01 11:15:00,0.001,0.054,0.0,0.0
2024-01-01 11:30:00,0.001,0.07933333333333333,0.0,0.0
2024-01-01 11:45:00,0.001,0.24400000000000002,0.0,0.0
2024-01-01 12:00:00,0.001,0.14266666666666666,0.0,0.0
2024-01-01 12:15:00,0.001,0.054,0.0,0.0
2024-01-01 12:30:00,0.001,0.054,0.0,0.0
2024-01-01 12:45:00,0.001,0.054,0.0,0.0
2024-01-01 13:00:00,0.001,0.19333333333333333,0.0,0.0
2024-01-01 13:15:00,0.001,0.21866666666666665,0.0,0.0
2024-01-01 13:30:00,0.001,0.054,0.0,0.0
2024-01-01 13:45:00,0.001,0.054,0.0,0.0
2024-01-01 14:00:00,0.001,0.054,0.0,0.0
2024-01-01 14:15:00,0.001,0.11733333333333333,0.0,0.0
2024-01-01 14:30:00,0.001,0.24400000000000002,0.0,0.0
2024-01-01 14:45:00,0.001,0.10466666666666667,0.0,0.0
2024-01-01 15:00:00,0.001,0.06206666666666667,0.0,0.0
2024-01-01 15:15:00,0.001,0.175,0.0,0.0
2024-01-01 15:30:00,0.001,0.18972435876469335,4.4,0.6
2024-01-01 15:45:00,0.001,0.45012553068624767,11.0,3.0
2024-01-01 16:00:00,0.001,0.35529886401958094,5.133333333333334,3.0
2024-01-01 16:15:00,0.001,0.2307521973529143,0.0,3.0
2024-01-01 16:30:00,0.001,0.4089721973529143,0.0,3.0
2024-01-01 16:45:00,0.001,1.2622243587646935,0.0,1.2
2024-01-01 17:00:00,0.001,1.8125855306862477,1.4666666666666666,1.0
2024-01-01 17:15:00,0.001,1.4098521973529143,0.0,2.6
2024-01-01 17:30:00,0.001,0.966718864019581,0.0,0.0
2024-01-01 17:45:00,0.001,0.441318864019581,0.0,0.0
2024-01-01 18:00:00,0.001,0.4340404468444259,0.0,0.0
2024-01-01 18:15:00,0.001,0.4527237423726735,0.0,0.0
2024-01-01 18:30:00,0.001,1.4331904090393401,0.0,0.8
2024-01-01 18:45:00,0.001,2.45139040903934,0.0,2.4
2024-01-01 19:00:00,0.001,0.4193237423726735,0.0,0.0
2024-01-01 19:15:00,0.001,0.4435237423726735,0.0,2.8
2024-01-01 19:30:00,0.001,0.4435237423726735,0.0,1.8
2024-01-01 19:45:00,0.001,0.6102023134118659,0.0,0.0
2024-01-01 20:00:00,0.001,0.633436610460162,0.0,0.0
2024-01-01 20:15:00,0.001,0.4589426063922545,0.0,0.0
2024-01-01 20:30:00,0.001,0.2976092730589211,0.0,0.0
2024-01-01 20:45:00,0.001,0.4752759397255878,0.0,2.0
2024-01-01 21:00:00,0.001,0.629409273058921,0.0,0.6
2024-01-01 21:15:00,0.001,0.7434550607844219,0.0,0.0
2024-01-01 21:30:00,0.001,0.5773079141242246,0.0,0.4
2024-01-01 21:45:00,0.001,0.4636844131072477,0.0,3.0
2024-01-01 22:00:00,0.001,0.20759040903934017,0.0,1.6
2024-01-01 22:15:00,0.001,0.2015237423726735,0.0,0.0
2024-01-01 22:30:00,0.001,0.37885707570600685,0.0,0.0
2024-01-01 22:45:00,0.001,0.32503741107329387,0.0,0.0
2024-01-01 23:00:00,0.001,0.1806533333333333,0.0,0.0
2024-01-01 23:15:00,0.001,0.054,0.0,0.0
2024-01-01 23:30:00,0.001,0.054,0.0,0.0
2024-01-01 23:45:00,0.001,0.15533333333333335,0.0,0.0
2024-01-02 00:00:00,0.001,0.24400000000000002,0.0,0.0
2024-01-02 00:15:00,0.001,0.06666666666666667,0.0,0.0
2024-01-02 00:30:00,0.001,0.054,0.0,0.0
2024-01-02 00:45:00,0.001,0.054,0.0,0.0
2024-01-02 01:00:00,0.001,0.07933333333333333,0.0,0.0
2024-01-02 01:15:00,0.001,0.24400000000000002,0.0,0.0
2024-01-02 01:30:00,0.001,0.14266666666666666,0.0,0.0
2024-01-02 01:45:00,0.001,0.054,0.0,0.0
2024-01-02 02:00:00,0.001,0.054,0.0,0.0
2024-01-02 02:15:00,0.001,0.054,0.0,0.0
2024-01-02 02:30:00,0.001,0.19333333333333333,0.0,0.0
2024-01-02 02:45:00,0.001,0.21866666666666665,0.0,0.0
2024-01-02 03:00:00,0.001,0.054,0.0,0.0
2024-01-02 03:15:00,0.001,0.054,0.0,0.0
2024-01-02 03:30:00,0.001,0.054,0.0,0.0
2024-01-02 03:45:00,0.001,0.11733333333333333,0.0,2.2
2024-01-02 04:00:00,0.001,0.24400000000000002,0.0,0.0
2024-01-02 04:15:00,0.001,0.10466666666666667,0.0,0.0
2024-01-02 04:30:00,0.001,0.054,0.0,0.0
2024-01-02 04:45:00,0.001,0.4538,0.0,2.2
2024-01-02 05:00:00,0.001,0.054,0.0,3.0
2024-01-02 05:15:00,0.001,0.2313333333333333,0.0,1.2
2024-01-02 05:30:00,0.001,0.18066666666666667,0.0,0.0
2024-01-02 05:45:00,0.001,0.054,0.0,0.0
2024-01-02 06:00:00,0.001,0.054,0.0,1.8
2024-01-02 06:15:00,0.001,0.054,2.2,0.2
2024-01-02 06:30:00,0.001,0.15533333333333335,4.4,0.0
2024-01-02 06:45:00,0.001,0.24400000000000002,0.0,0.0
2024-01-02 07:00:00,0.001,0.06666666666666667,0.0,0.0
2024-01-02 07:15:00,0.001,0.054,0.0,0.0
2024-01-02 07:30:00,0.001,0.054,0.0,0.0
2024-01-02 07:45:00,0.001,0.07933333333333333,0.0,0.0
2024-01-02 08:00:00,0.001,0.24400000000000002,0.0,0.0
2024-01-02 08:15:00,0.001,0.14266666666666666,0.0,0.0
2024-01-02 08:30:00,0.001,0.4919333333333334,0.0,0.0
2024-01-02 08:45:00,0.001,0.158,0.0,0.8
2024-01-02 09:00:00,0.001,0.6682,0.0,2.0
2024-01-02 09:15:00,0.001,0.29733333333333334,0.0,2.0
2024-01-02 09:30:00,0.001,0.32266666666666666,0.0,3.0
2024-01-02 09:45:00,0.001,0.06650347982352763,0.0,1.4
2024-01-02 10:00:00,0.001,0.0855521973529143,0.0,0.0
2024-01-02 10:15:00,0.001,0.13408553068624762,0.0,0.0
2024-01-02 10:30:00,0.001,0.23988553068624763,6.6,0.0
2024-01-02 10:45:00,0.001,0.3665521973529143,0.7333333333333333,0.0
2024-01-02 11:00:00,0.001,0.771818864019581,0.0,0.0
2024-01-02 11:15:00,0.001,1.1550119043725258,0.0,0.0
2024-01-02 11:30:00,0.001,0.4312675456078324,0.0,0.0
2024-01-02 11:45:00,0.001,0.2342521973529143,0.0,1.0
2024-01-02 12:00:00,0.001,0.405518864019581,0.0,1.2
2024-01-02 12:15:00,0.001,0.347918864019581,0.0,0.0
2024-01-02 12:30:00,0.001,0.2212521973529143,2.2,1.6
2024-01-02 12:45:00,0.001,0.3341855306862477,0.0,0.6
2024-01-02 13:00:00,0.001,0.4187716113921372,0.0,0.0
2024-01-02 13:15:00,0.001,0.574918864019581,0.0,0.0
2024-01-02 13:30:00,0.001,0.7442521973529143,0.0,2.4
2024-01-02 13:45:00,0.001,0.4478521973529143,0.0,0.8
2024-01-02 14:00:00,0.001,0.3317347982352762,0.0,2.8
2024-01-02 14:15:00,0.001,0.3107,0.0,0.0
2024-01-02 14:30:00,0.001,0.8456333333333333,0.0,0.0
2024-01-02 14:45:00,0.001,1.7052333333333334,0.0,1.6
2024-01-02 15:00:00,0.001,1.3729666666666667,0.0,0.6
2024-01-02 15:15:00,0.001,0.2027,0.0,0.0
2024-01-02 15:30:00,0.001,0.19403333333333334,0.0,0.0
2024-01-02 15:45:00,0.001,1.1225666666666667,0.0,0.0
2024-01-02 16:00:00,0.001,0.7772333333333333,0.0,1.0
2024-01-02 16:15:00,0.001,0.8751666666666666,0.0,3.0
2024-01-02 16:30:00,0.001,0.39354724338965036,0.0,1.6
2024-01-02 16:45:00,0.001,0.4435237423726735,0.0,0.0
2024-01-02 17:00:00,0.001,0.3982904090393402,8.066666666666666,0.0
2024-01-02 17:15:00,0.001,1.2038237423726736,0.0,0.0
2024-01-02 17:30:00,0.001,2.498823742372674,0.0,0.0
2024-01-02 17:45:00,0.001,2.365155060784422,0.0,0.0
2024-01-02 18:00:00,0.001,1.7002502791607825,0.0,1.4
2024-01-02 18:15:00,0.001,0.0985521973529143,0.0,3.0
2024-01-02 18:30:00,0.001,0.3084096084262082,0.0,0.6
2024-01-02 18:45:00,0.001,0.5790359397255878,0.0,0.0
2024-01-02 19:00:00,0.001,1.0705770757060067,0.0,0.0
2024-01-02 19:15:00,0.001,0.3225237423726735,0.0,0.0
2024-01-02 19:30:00,0.001,0.3709237423726735,0.0,2.0
2024-01-02 19:45:00,0.001,0.4435237423726735,0.0,0.0
2024-01-02 20:00:00,0.001,0.5200529979660462,0.0,0.0
2024-01-02 20:15:00,0.001,0.5007,0.0,0.2
2024-01-02 20:30:00,0.001,0.32336666666666664,0.0,2.6
2024-01-02 20:45:00,0.001,0.22196666666666662,0.0,0.0
2024-01-02 21:00:00,0.001,0.18969999999999995,0.0,0.0
2024-01-02 21:15:00,0.001,0.21503333333333333,0.0,0.0
2024-01-02 21:30:00,0.001,0.3812764989830231,0.0,0.0
2024-01-02 21:45:00,0.001,0.34665707570600685,0.0,0.0
2024-01-02 22:00:00,0.001,0.32883418184325636,0.0,2.2
2024-01-02 22:15:00,0.001,0.3540759397255878,0.0,1.0
2024-01-02 22:30:00,0.001,0.3540759397255878,0.0,0.0
2024-01-02 22:45:00,0.001,0.48552677814380546,0.0,0.4
2024-01-02 23:00:00,0.001,0.806978864019581,0.0,3.0
2024-01-02 23:15:00,0.001,0.14867362631372188,0.0,0.2
2024-01-02 23:30:00,0.001,0.18969999999999995,0.0,0.0
2024-01-02 23:45:00,0.001,0.18969999999999995,0.0,0.0
2024-01-03 00:00:00,0.001,0.27723333333333333,0.0,2.4
2024-01-03 00:15:00,0.001,0.5683863312993797,0.0,1.4
2024-01-03 00:30:00,0.001,0.49419040903934014,0.0,0.0
2024-01-03 00:45:00,0.001,0.4435237423726735,0.0,0.0
2024-01-03 01:00:00,0.001,0.4435237423726735,0.0,0.0
2024-01-03 01:15:00,0.001,0.38705707570600684,0.0,0.6
