,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.211,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.021,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.021,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.021,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.04633333333333334,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.23633333333333334,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.2743333333333334,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.021,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.021,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.021,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.04633333333333334,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.211,0.0,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.2743333333333334,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.04633333333333333,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.021,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.021,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.04633333333333334,0.0,0.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.211,0.0,0.4,0.0
2024-01-01 04:30:00,0.001,0.0,0.211,0.0,2.0,0.0
2024-01-01 04:45:00,0.001,0.0,0.10966666666666666,0.0,2.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.021,0.0,2.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.021,0.0,2.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.04633333333333334,0.0,1.4666666666666666,0.0
2024-01-01 05:45:00,0.001,0.0,0.211,0.0,2.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.14766666666666667,0.0,1.7333333333333334,2.0
2024-01-01 06:15:00,0.001,0.0,0.173,0.0,0.0,2.3333333333333335
2024-01-01 06:30:00,0.001,0.0,0.021,0.0,0.0,0.0
2024-01-01 06:45:00,1.097658519979849,0.0,0.15426666666666666,0.0,0.0,0.0
2024-01-01 07:00:00,1.885593053077702,0.0,0.4461333333333333,0.0,0.0,4.666666666666667
2024-01-01 07:15:00,1.9703161243890035,0.0,0.2214,0.0,0.0,5.0
2024-01-01 07:30:00,1.8448225303006172,0.0,0.13533333333333336,0.0,0.0,0.3333333333333333
2024-01-01 07:45:00,0.24163535205144038,0.0,0.186,0.0,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.059333333333333335,0.0,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.02706666666666667,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.06246666666666667,0.0,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.332,0.0,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.24333333333333332,0.0,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,1.5639999999999998,0.0,0.0,0.0
2024-01-01 09:30:00,0.001,0.0,1.2973333333333332,0.0,0.0,2.3333333333333335
2024-01-01 09:45:00,0.001,0.0,0.14719999999999997,0.0,0.6666666666666666,1.0
2024-01-01 10:00:00,0.001,0.0,0.10773333333333333,0.0,1.7333333333333334,2.3333333333333335
2024-01-01 10:15:00,0.001,0.0,0.6237999999999999,0.0,0.0,3.3333333333333335
2024-01-01 10:30:00,0.001,0.0,0.22365333333333334,0.0,0.0,2.3333333333333335
2024-01-01 10:45:00,0.001,0.0,0.059333333333333335,0.0,0.0,0.6666666666666666
2024-01-01 11:00:00,0.001,0.0,0.173,0.0,0.0,0.0
2024-01-01 11:15:00,0.001,0.0,0.021,0.0,0.0,0.0
2024-01-01 11:30:00,0.001,0.0,0.05673333333333333,0.0,0.0,0.0
2024-01-01 11:45:00,0.001,0.0,0.224,0.0,0.0,3.3333333333333335
2024-01-01 12:00:00,0.001,0.0,0.13533333333333336,0.0,0.0,0.0
2024-01-01 12:15:00,0.001,0.0,0.03944377280391619,0.0,0.0,2.0
2024-01-01 12:30:00,0.001,0.0,0.30135219735291424,0.0,0.0,4.0
2024-01-01 12:45:00,0.001,0.0,0.19888553068624762,0.0,0.0,0.0
2024-01-01 13:00:00,0.001,0.0,0.19888553068624762,0.0,0.0,0.6666666666666666
2024-01-01 13:15:00,0.001,0.0,0.35093131841174857,0.0,0.0,1.3333333333333333
2024-01-01 13:30:00,0.001,0.0,0.24766666666666667,0.0,0.0,0.0
2024-01-01 13:45:00,0.001,0.0,0.0806437728039162,7.0,0.0,0.0
2024-01-01 14:00:00,0.001,0.0,0.6872855306862476,0.0,0.0,0.0
2024-01-01 14:15:00,0.001,0.0,1.0187521973529143,0.0,0.0,0.0
2024-01-01 14:30:00,0.001,0.0,1.2118855306862477,0.0,0.4,0.0
2024-01-01 14:45:00,0.001,0.0,0.698618864019581,0.0,2.0,0.0
2024-01-01 15:00:00,0.001,0.0,0.26857509121566475,0.0,0.0,0.0
