,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.0,0.001,0.046,0.0
2024-01-01 00:15:00,0.0,0.001,0.046,0.0
2024-01-01 00:30:00,0.0,0.001,0.046,0.0
2024-01-01 00:45:00,0.0,0.001,0.19799999999999998,0.0
2024-01-01 01:00:00,0.0,0.001,0.19799999999999998,0.0
2024-01-01 01:15:00,0.0,0.001,0.046,0.0
2024-01-01 01:30:00,0.0,0.001,0.046,0.0
2024-01-01 01:45:00,0.0,0.001,0.046,0.0
2024-01-01 02:00:00,0.0,0.001,0.046,0.0
2024-01-01 02:15:00,0.0,0.001,0.18533333333333332,0.0
2024-01-01 02:30:00,0.0,0.001,0.21066666666666664,0.0
2024-01-01 02:45:00,0.0,0.001,0.046,0.0
2024-01-01 03:00:00,0.0,0.001,0.046,0.0
2024-01-01 03:15:00,0.0,0.001,0.046,0.0
2024-01-01 03:30:00,0.0,0.001,0.046,0.0
2024-01-01 03:45:00,0.0,0.001,0.17266666666666666,0.0
2024-01-01 04:00:00,0.0,0.001,0.6231333333333333,0.13333333333333333
2024-01-01 04:15:00,0.0,0.001,0.4458,2.0
2024-01-01 04:30:00,0.0,0.001,0.4458,1.8666666666666667
2024-01-01 04:45:00,0.0,0.001,0.046,0.0
2024-01-01 05:00:00,0.0,0.001,0.046,0.5333333333333333
2024-01-01 05:15:00,0.0,0.001,0.16,2.0
2024-01-01 05:30:00,0.0,0.001,0.36926666666666663,2.0
2024-01-01 05:45:00,0.0,0.001,0.4458,2.0
2024-01-01 06:00:00,0.0,0.001,0.046,1.7333333333333334
2024-01-01 06:15:00,0.0,0.001,0.046,0.0
2024-01-01 06:30:00,0.0,0.001,0.046,0.0
2024-01-01 06:45:00,0.0,0.001,0.14733333333333334,0.0
2024-01-01 07:00:00,0.0,0.001,0.23600000000000002,0.0
2024-01-01 07:15:00,0.0,0.001,0.058666666666666666,0.13333333333333333
2024-01-01 07:30:00,0.0,0.001,0.046,1.4666666666666666
2024-01-01 07:45:00,0.0,0.001,0.046,0.0
2024-01-01 08:00:00,0.0,0.001,0.046,0.0
2024-01-01 08:15:00,0.0,0.001,0.13466666666666666,0.0
2024-01-01 08:30:00,0.0,0.001,0.23600000000000002,0.0
2024-01-01 08:45:00,0.0,0.001,0.07133333333333333,0.0
2024-01-01 09:00:00,0.0,0.001,0.046,0.0
2024-01-01 09:15:00,0.0,0.001,0.046,0.0
2024-01-01 09:30:00,0.0,0.001,0.046,0.0
2024-01-01 09:45:00,0.0,0.001,0.12199999999999998,0.0
2024-01-01 10:00:00,0.0,0.001,0.23600000000000002,0.9333333333333333
2024-01-01 10:15:00,0.0,0.001,0.084,1.0666666666666667
2024-01-01 10:30:00,0.0,0.001,0.046,0.0
2024-01-01 10:45:00,0.0,0.001,0.046,0.0
2024-01-01 11:00:00,0.0,0.001,0.046,0.0
2024-01-01 11:15:00,0.0,0.001,0.10933333333333332,0.0
2024-01-01 11:30:00,0.0,0.001,0.23600000000000002,0.0
2024-01-01 11:45:00,0.0,0.001,0.09666666666666666,0.0
2024-01-01 12:00:00,0.0,0.001,0.046,0.0
2024-01-01 12:15:00,0.0,0.001,0.046,0.0
2024-01-01 12:30:00,0.0,0.001,0.046,0.0
2024-01-01 12:45:00,0.0,0.001,0.09666666666666666,1.3333333333333333
2024-01-01 13:00:00,0.0,0.001,0.23600000000000002,0.4
2024-01-01 13:15:00,0.0,0.001,0.10933333333333332,0.0
2024-01-01 13:30:00,0.0,0.001,0.046,0.0
2024-01-01 13:45:00,0.0,0.001,0.046,0.0
2024-01-01 14:00:00,0.0,0.001,0.046,0.0
2024-01-01 14:15:00,0.0,0.001,0.084,0.0
2024-01-01 14:30:00,0.0,0.001,0.23600000000000002,0.8
2024-01-01 14:45:00,0.0,0.001,0.12199999999999998,1.4666666666666666
