,TumbleDryer,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.3556666666666667,0.0
2024-01-01 00:15:00,0.001,0.24166666666666667,0.0
2024-01-01 00:30:00,0.001,0.1488,0.1
2024-01-01 00:45:00,0.001,0.21823333333333333,0.0
2024-01-01 01:00:00,0.001,0.3087,0.1
2024-01-01 01:15:00,0.001,0.3087,0.1
2024-01-01 01:30:00,0.001,0.46636666666666665,0.3
2024-01-01 01:45:00,0.001,0.5235000000000001,0.6
2024-01-01 02:00:00,0.001,0.2290333333333333,0.1
2024-01-01 02:15:00,0.001,0.18769999999999998,0.1
2024-01-01 02:30:00,0.001,0.18769999999999998,0.0
2024-01-01 02:45:00,0.001,0.18769999999999998,0.3
2024-01-01 03:00:00,0.001,0.22569999999999996,0.8
2024-01-01 03:15:00,0.001,0.48103333333333337,0.0
2024-01-01 03:30:00,0.001,0.3750333333333334,1.2
2024-01-01 03:45:00,0.001,0.18769999999999998,0.8
2024-01-01 04:00:00,0.001,0.7207666666666666,0.8
2024-01-01 04:15:00,0.001,0.18769999999999998,0.1
2024-01-01 04:30:00,0.001,0.18769999999999998,0.1
2024-01-01 04:45:00,0.001,0.34769999999999995,1.2
2024-01-01 05:00:00,0.001,0.49470000000000003,0.9
2024-01-01 05:15:00,0.001,0.23936666666666664,1.4
2024-01-01 05:30:00,0.001,0.1786533333333333,0.5
2024-01-01 05:45:00,0.001,0.052,1.2
2024-01-01 06:00:00,0.001,0.052,0.7
2024-01-01 06:15:00,0.001,0.10266666666666667,0.4
2024-01-01 06:30:00,0.001,0.335,0.0
2024-01-01 06:45:00,0.001,0.23700000000000002,0.1
2024-01-01 07:00:00,0.001,0.052,0.8
2024-01-01 07:15:00,0.001,0.12459999999999999,0.1
2024-01-01 07:30:00,0.001,0.173,0.4
2024-01-01 07:45:00,0.001,0.173,0.2
2024-01-01 08:00:00,0.001,0.3521611719215543,0.8
2024-01-01 08:15:00,0.001,0.4988855306862476,1.5
2024-01-01 08:30:00,0.001,0.2109521973529143,1.5
2024-01-01 08:45:00,0.001,0.0965521973529143,0.6
2024-01-01 09:00:00,0.001,0.09812869633593743,0.0
2024-01-01 09:15:00,0.001,0.09996202043147732,0.1
2024-01-01 09:30:00,0.001,0.13495707570600685,0.5
2024-01-01 09:45:00,0.001,0.36804260639225445,1.5
2024-01-01 10:00:00,0.001,0.2780426063922545,1.0
2024-01-01 10:15:00,0.001,0.6252896084262082,1.4
2024-01-01 10:30:00,0.001,0.4833521973529143,0.1
2024-01-01 10:45:00,0.001,0.0835521973529143,0.0
2024-01-01 11:00:00,0.001,0.05410347982352762,0.1
2024-01-01 11:15:00,0.001,0.21666666666666667,0.1
2024-01-01 11:30:00,0.001,0.33366666666666667,0.2
2024-01-01 11:45:00,0.001,0.6574000000000001,0.6
2024-01-01 12:00:00,0.001,0.052,0.1
2024-01-01 12:15:00,0.001,0.052,0.7
2024-01-01 12:30:00,0.001,0.052,1.1
2024-01-01 12:45:00,0.001,0.128,1.5
2024-01-01 13:00:00,0.001,0.3143333333333333,0.2
2024-01-01 13:15:00,0.001,0.23233333333333334,0.2
2024-01-01 13:30:00,0.001,0.052,0.7
2024-01-01 13:45:00,0.001,0.052,0.2
2024-01-01 14:00:00,0.001,0.052,0.8
2024-01-01 14:15:00,0.001,0.052,0.1
2024-01-01 14:30:00,0.001,0.22933333333333333,0.6
2024-01-01 14:45:00,0.001,0.3106666666666667,1.1
2024-01-01 15:00:00,0.001,0.5344666666666666,0.3
2024-01-01 15:15:00,0.001,0.052,0.1
2024-01-01 15:30:00,0.001,0.052,0.5
2024-01-01 15:45:00,0.001,0.052,1.5
2024-01-01 16:00:00,0.001,0.14066666666666666,0.3
2024-01-01 16:15:00,0.001,0.3130466666666667,0.4
2024-01-01 16:30:00,0.001,0.35536666666666666,0.1
2024-01-01 16:45:00,0.001,0.1980333333333333,1.2
2024-01-01 17:00:00,0.001,0.18769999999999998,1.5
2024-01-01 17:15:00,0.001,0.18769999999999998,1.5
2024-01-01 17:30:00,0.001,0.18769999999999998,1.5
2024-01-01 17:45:00,0.001,0.3966313184117486,1.5
2024-01-01 18:00:00,0.001,0.45491886401958104,1.5
2024-01-01 18:15:00,0.001,0.3122521973529143,0.6
2024-01-01 18:30:00,0.001,0.2192521973529143,0.1
2024-01-01 18:45:00,0.001,0.21504523770585904,0.0
2024-01-01 19:00:00,0.001,0.18769999999999998,0.1
2024-01-01 19:15:00,0.001,0.2890333333333333,0.1
2024-01-01 19:30:00,0.001,0.4293666666666667,0.1
2024-01-01 19:45:00,0.001,0.3427,0.0
2024-01-01 20:00:00,0.001,0.20836666666666664,0.2
2024-01-01 20:15:00,0.001,0.18769999999999998,0.5
2024-01-01 20:30:00,0.001,0.19085299796604627,1.2
2024-01-01 20:45:00,0.001,0.2121904090393402,0.2
2024-01-01 21:00:00,0.001,0.3895237423726735,0.1
2024-01-01 21:15:00,0.001,0.9452570757060068,0.3
2024-01-01 21:30:00,0.001,0.38273549288116193,0.1
2024-01-01 21:45:00,0.001,0.3087,0.5
2024-01-01 22:00:00,0.001,0.20918666666666666,1.5
2024-01-01 22:15:00,0.001,0.173,1.3
2024-01-01 22:30:00,0.001,0.2988237423726735,0.7
2024-01-01 22:45:00,0.001,0.8032904090393402,0.7
2024-01-01 23:00:00,0.001,0.3398237423726735,0.7
2024-01-01 23:15:00,0.001,0.21582374237267352,1.5
2024-01-01 23:30:00,0.001,0.18167074440662725,1.5
2024-01-01 23:45:00,0.001,0.1745764989830231,1.5
