,Occupancy,SoC_ref_EV,T_ref_WB,T_set_WB,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,P_use_WB,P_loss_WB,EV_arrival,EV_departure,EV_plugged,SoC_arr_EV
2024-05-30 00:00:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.487963410412396,13.072156870084665,10.631670000000002,0.0,0.0,0,0,0,0.0
2024-05-30 00:15:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.462412125859315,13.085435405310143,10.631670000000002,0.0,0.0,0,0,0,0.0
2024-05-30 00:30:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.437230003030207,13.098304097380133,10.631670000000002,0.0,0.0,0,0,0,0.0
2024-05-30 00:45:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.412409749256692,13.110771705201312,10.631670000000002,0.0,0.0,0,0,0,0.0
2024-05-30 01:00:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.387845146345363,13.12237452211894,10.36167,0.0,0.0,0,0,0,0.0
2024-05-30 01:15:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.363510511743721,13.133060710858588,10.36167,0.0,0.0,0,0,0,0.0
2024-05-30 01:30:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.339509846277108,13.143382084792364,10.36167,0.0,0.0,0,0,0,0.0
2024-05-30 01:45:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.315836606033848,13.15334649028453,10.36167,0.0,0.0,0,0,0,0.0
2024-05-30 02:00:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.292537588835653,13.163215244819025,10.506670000000002,0.0,0.0,0,0,0,0.0
2024-05-30 02:15:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.269616552502033,13.173028221766744,10.506670000000002,0.0,0.0,0,0,0,0.0
2024-05-30 02:30:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.247007816344267,13.182500862015422,10.506670000000002,0.0,0.0,0,0,0,0.0
2024-05-30 02:45:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.224705268299367,13.191640492318223,10.506670000000002,0.0,0.0,0,0,0,0.0
2024-05-30 03:00:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.202565499926372,13.199731311713581,10.09333,0.0,0.0,0,0,0,0.0
2024-05-30 03:15:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.180555884010948,13.206688318126384,10.09333,0.0,0.0,0,0,0,0.0
2024-05-30 03:30:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,15.158823991005773,13.21335061645519,10.09333,0.0,0.0,0,0,0,0.0
2024-05-30 03:45:00,2.0,0.0,60.0,60.0,16.7,0.48197852845329553,15.410131709726992,13.220178837661098,10.09333,0.0,0.0,0,0,0,0.0
2024-05-30 04:00:00,1.0,0.0,60.0,60.0,18.7,0.48197852845329553,16.190419064930563,13.232122460056543,9.87,0.0,0.0,0,0,0,0.0
2024-05-30 04:15:00,1.0,0.0,60.0,60.0,21.5,0.48197852845329553,17.351321777109483,13.251664256807524,9.87,0.0,0.0,0,0,0,0.0
2024-05-30 04:30:00,1.0,0.0,60.0,60.0,21.5,0.48197852845329553,18.66973633157896,13.282984045128845,9.87,0.0,0.0,0,0,0,0.0
2024-05-30 04:45:00,2.0,0.0,60.0,60.0,18.3,0.48197852845329553,19.805745269803065,13.325913118790993,9.87,0.0,0.0,0,0,0,0.0
2024-05-30 05:00:00,2.0,0.0,60.0,60.0,16.7,0.48197852845329553,19.98402127677385,13.374441319435354,9.873333,0.0,0.0,0,0,0,0.0
2024-05-30 05:15:00,2.0,0.0,60.0,60.0,15.5,0.48197852845329553,20.1206411177216,13.423788588934375,9.873333,0.0,0.0,0,0,0,0.0
2024-05-30 05:30:00,1.0,0.0,60.0,60.0,20.3,0.48197852845329553,20.457047721940583,13.473477266638914,9.873333,0.0,0.0,0,0,0,0.0
2024-05-30 05:45:00,1.0,0.0,60.0,60.0,21.5,0.48197852845329553,21.67816725806382,13.530429599959382,9.873333,0.0,0.0,0,0,0,0.0
