,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.13033333333333333,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.079,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.145,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.06433333333333333,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.049666666666666665,0.0,1.8666666666666667,0.0
2024-01-01 03:45:00,0.001,0.0,0.145,0.0,4.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.049666666666666665,0.0,3.466666666666667,0.0
2024-01-01 04:15:00,0.001,0.0,0.035,0.0,2.4,1.2
2024-01-01 04:30:00,0.001,0.0,0.1764666666666667,0.0,0.0,1.4
2024-01-01 04:45:00,0.001,0.0,2.1570000000000005,0.0,0.0,0.0
2024-01-01 05:00:00,0.001,0.0,2.0448666666666666,0.0,0.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.145,0.0,0.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 05:45:00,0.001,0.0,0.7423333333333333,0.0,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,2.1570000000000005,0.0,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,1.0252666666666665,0.0,0.0,0.0
2024-01-01 06:30:00,0.001,0.0,0.079,0.0,0.0,0.0
2024-01-01 06:45:00,0.001,0.0,0.13033333333333333,0.0,2.1333333333333333,0.0
2024-01-01 07:00:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 07:15:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.035,0.0,0.0,1.2
2024-01-01 07:45:00,0.001,0.0,0.04106666666666667,0.0,0.0,3.0
2024-01-01 08:00:00,0.001,0.0,0.10666666666666667,0.0,0.0,1.6
2024-01-01 08:15:00,0.001,0.0,0.12866666666666665,7.333333333333333,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.048,11.0,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.0428,8.066666666666666,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 09:30:00,0.001,0.0,0.10833333333333334,0.0,0.26666666666666666,0.0
2024-01-01 09:45:00,0.001,0.0,0.10099999999999999,0.0,0.5333333333333333,0.0
2024-01-01 10:00:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 10:15:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 10:30:00,0.001,0.0,0.035,0.0,1.6,0.0
2024-01-01 10:45:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 11:00:00,0.001,0.0,0.123,0.0,0.0,0.0
2024-01-01 11:15:00,0.001,0.0,0.08633333333333333,0.0,0.0,0.0
2024-01-01 11:30:00,0.001,0.0,0.035,0.0,0.0,0.0
2024-01-01 11:45:00,0.001,0.0,0.5680666666666666,0.0,0.0,0.0
