,TumbleDryer,DishWasher,BaseLoad
2024-01-01 00:00:00,0.001,0.0,0.1511521973529143
2024-01-01 00:15:00,0.001,0.0,0.07855219735291431
2024-01-01 00:30:00,0.001,0.0,0.13597710613724953
2024-01-01 00:45:00,0.001,0.0,0.247
2024-01-01 01:00:00,0.001,0.0,0.237
2024-01-01 01:15:00,0.001,0.0,0.047
2024-01-01 01:30:00,0.001,0.0,0.047
2024-01-01 01:45:00,0.001,0.0,0.047
2024-01-01 02:00:00,0.001,0.0,0.16066666666666668
2024-01-01 02:15:00,0.001,0.0,0.33
2024-01-01 02:30:00,0.001,0.0,0.123
2024-01-01 02:45:00,0.001,0.0,0.047
2024-01-01 03:00:00,0.001,0.0,0.047
2024-01-01 03:15:00,0.001,0.0,0.047
2024-01-01 03:30:00,0.001,0.0,0.30566666666666664
2024-01-01 03:45:00,0.001,0.0,0.261
2024-01-01 04:00:00,0.001,0.0,0.047
2024-01-01 04:15:00,0.001,0.0,0.047
2024-01-01 04:30:00,0.001,0.0,0.047
2024-01-01 04:45:00,0.001,0.0,0.10566666666666666
2024-01-01 05:00:00,0.001,0.0,0.392
2024-01-01 05:15:00,0.001,0.0,0.116
2024-01-01 05:30:00,0.001,0.0,0.047
2024-01-01 05:45:00,0.001,0.0,0.047
2024-01-01 06:00:00,0.001,0.0,0.047
2024-01-01 06:15:00,0.001,0.0,0.25066666666666665
2024-01-01 06:30:00,0.001,0.0,0.316
2024-01-01 06:45:00,0.001,0.0,0.047
2024-01-01 07:00:00,0.001,0.0,0.047
2024-01-01 07:15:00,0.001,0.0,0.047
2024-01-01 07:30:00,0.001,0.0,0.123
2024-01-01 07:45:00,0.001,0.0,0.31966666666666665
2024-01-01 08:00:00,0.001,0.0,0.17099999999999999
2024-01-01 08:15:00,0.001,0.0,0.047
2024-01-01 08:30:00,0.001,0.0006666666666666666,0.047
2024-01-01 08:45:00,0.001,1.2004666666666668,0.047
2024-01-01 09:00:00,0.001,0.001,0.24653333333333333
2024-01-01 09:15:00,0.001,0.001,0.24966666666666668
2024-01-01 09:30:00,0.001,0.001,0.153
2024-01-01 09:45:00,0.001,0.001,0.05999999999999999
2024-01-01 10:00:00,0.001,0.001,0.054799999999999995
2024-01-01 10:15:00,0.001,0.001,0.161
2024-01-01 10:30:00,0.001,0.001,0.19899999999999998
2024-01-01 10:45:00,0.001,2.25,0.19166666666666668
2024-01-01 11:00:00,0.001,0.1509333333333333,0.109
2024-01-01 11:15:00,0.001,0.001,0.047
2024-01-01 11:30:00,0.001,0.0003333333333333333,0.08499999999999999
2024-01-01 11:45:00,0.001,0.0,1.7931333333333332
2024-01-01 12:00:00,0.001,0.0,2.332533333333333
2024-01-01 12:15:00,0.001,0.0,0.323
2024-01-01 12:30:00,0.001,0.0002666666666666667,0.199
2024-01-01 12:45:00,0.001,2.1000666666666667,0.2809333333333333
2024-01-01 13:00:00,0.001,1.2004666666666668,0.44099999999999995
2024-01-01 13:15:00,0.001,1.3504,0.37879999999999997
2024-01-01 13:30:00,0.001,0.0007333333333333333,0.24280494472547046
2024-01-01 13:45:00,0.001,0.0,0.3592816943019837
2024-01-01 14:00:00,0.001,0.0,0.1468426063922545
2024-01-01 14:15:00,0.001,0.0,0.1663759397255878
2024-01-01 14:30:00,0.001,0.0,0.3077411414903116
2024-01-01 14:45:00,0.001,0.0,0.1798237423726735
2024-01-01 15:00:00,0.001,0.0,0.2577609120902708
2024-01-01 15:15:00,0.001,0.0,0.29594124745755784
2024-01-01 15:30:00,0.001,0.0,0.19454810113736684
2024-01-01 15:45:00,0.001,0.0,0.5223759397255877
2024-01-01 16:00:00,0.001,0.0,0.28737593972558784
2024-01-01 16:15:00,0.001,0.0,0.21137593972558782
2024-01-01 16:30:00,0.001,0.0,0.32259536300260405
2024-01-01 16:45:00,0.001,0.0,0.25259798507841524
2024-01-01 17:00:00,0.001,0.0,0.2224
2024-01-01 17:15:00,0.001,0.0,0.333
2024-01-01 17:30:00,0.001,0.0,0.181
2024-01-01 17:45:00,0.001,0.0,0.168
2024-01-01 18:00:00,0.001,0.0,0.4144
2024-01-01 18:15:00,0.001,0.0,0.28099999999999997
2024-01-01 18:30:00,0.001,0.0,0.37099999999999994
2024-01-01 18:45:00,0.001,0.0,0.2211294969490694
2024-01-01 19:00:00,0.001,0.0,0.2604904090393402
2024-01-01 19:15:00,0.001,0.0,0.2730904090393402
2024-01-01 19:30:00,0.001,0.0,0.3642724599020602
2024-01-01 19:45:00,0.001,0.0,0.3943759397255878
2024-01-01 20:00:00,0.001,0.0,0.32458769023407624
2024-01-01 20:15:00,0.001,0.0,0.20330927305892116
2024-01-01 20:30:00,0.001,0.0,0.20085854060794972
2024-01-01 20:45:00,0.001,0.0,0.23955707570600684
2024-01-01 21:00:00,0.001,0.0,0.5570655002550049
2024-01-01 21:15:00,0.001,0.0,0.5192229417595414
2024-01-01 21:30:00,0.001,0.0,0.29204260639225443
2024-01-01 21:45:00,0.001,0.0,0.31624260639225443
2024-01-01 22:00:00,0.001,0.0,0.33237593972558777
2024-01-01 22:15:00,0.001,0.0,0.33437593972558777
2024-01-01 22:30:00,0.001,0.0,0.6416464427765184
2024-01-01 22:45:00,0.001,0.0,0.4012816943019837
2024-01-01 23:00:00,0.001,0.0,0.33237593972558777
2024-01-01 23:15:00,0.001,0.0,0.33237593972558777
2024-01-01 23:30:00,0.001,0.0,0.33237593972558777
2024-01-01 23:45:00,0.001,0.0,0.456237661666784
