,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.001,0.29469999999999996,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.26336666666666664,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.6564999999999999,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.36069999999999997,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.28469999999999995,0.0,0.4
2024-01-01 01:15:00,0.001,0.0,0.001,0.035,0.0,1.6
2024-01-01 01:30:00,0.001,0.0,0.001,0.17966666666666667,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.09233333333333334,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.18633333333333332,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.225,2.2,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.09833333333333334,1.8,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.04533333333333334,0.0,2.8
2024-01-01 03:00:00,0.001,0.0,0.001,0.5898000000000001,0.0,2.2
2024-01-01 03:15:00,0.001,0.0,0.001,0.057,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.5182,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.3582666666666667,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.04766666666666667,0.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.066,2.4,2.2
2024-01-01 04:30:00,0.001,0.0,0.001,0.16933333333333334,0.6,2.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.042333333333333334,0.6,0.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.3096666666666667,0.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.19433333333333333,2.4,3.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.035,3.0,2.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.08666666666666667,2.4,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.14866666666666667,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.060333333333333336,3.0,2.2
2024-01-01 06:30:00,0.001,0.0,0.001,0.32766666666666666,3.0,0.4
2024-01-01 06:45:00,0.001,0.0,0.001,0.15833333333333333,0.6,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.035,0.0,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.10733333333333334,0.0,1.8
2024-01-01 07:30:00,0.001,0.0,0.001,0.128,0.0,3.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.111,1.2,3.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.313,3.0,3.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.12233333333333335,0.4,3.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.035,0.0,3.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.128,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.10733333333333334,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.16166666666666668,0.0,0.0
2024-01-01 09:30:00,0.001,0.0,0.001,0.2983333333333334,0.0,2.6
2024-01-01 09:45:00,0.001,0.0,0.001,0.08843681315686094,0.6,1.6
2024-01-01 10:00:00,0.001,0.0,0.001,0.4663521973529143,3.0,0.0
2024-01-01 10:15:00,0.001,0.0,0.001,0.18021886401958095,0.8,0.0
2024-01-01 10:30:00,0.001,0.0,0.001,0.11821886401958097,0.0,0.0
2024-01-01 10:45:00,0.001,0.0,0.001,0.24388553068624763,0.0,1.2
2024-01-01 11:00:00,0.001,0.0,0.001,0.2519313184117486,0.0,3.0
2024-01-01 11:15:00,0.001,0.0,0.001,0.10099999999999999,0.0,2.0
2024-01-01 11:30:00,0.001,0.0,0.001,0.035,0.0,0.0
2024-01-01 11:45:00,0.001,0.0,0.001,0.16933333333333334,0.0,0.0
2024-01-01 12:00:00,0.001,0.0,0.001,0.10400000000000001,0.0,0.0
2024-01-01 12:15:00,0.001,0.0,0.001,0.225,0.0,2.6
2024-01-01 12:30:00,0.001,0.0,0.001,0.16766666666666669,0.6,0.0
2024-01-01 12:45:00,0.001,0.0,0.001,0.11566666666666665,3.0,1.0
2024-01-01 13:00:00,0.001,0.0,0.001,0.035,0.6,1.4
2024-01-01 13:15:00,0.001,0.0,0.001,0.19,0.0,0.4
2024-01-01 13:30:00,0.001,0.0,0.001,0.134,0.0,3.0
2024-01-01 13:45:00,0.001,0.0,0.001,0.225,0.0,0.8
2024-01-01 14:00:00,0.001,0.0,0.001,0.10233333333333333,0.0,0.0
2024-01-01 14:15:00,0.001,0.0,0.001,0.13033333333333333,0.0,0.0
2024-01-01 14:30:00,0.001,0.0,0.001,0.05566666666666667,0.0,0.2
2024-01-01 14:45:00,0.001,0.0,0.001,0.17966666666666667,0.0,1.8
2024-01-01 15:00:00,0.001,0.0,0.001,0.17433333333333334,0.0,0.0
2024-01-01 15:15:00,0.001,0.0,0.001,0.21233333333333335,0.0,0.0
2024-01-01 15:30:00,0.001,0.0,0.001,0.4494666666666666,0.0,0.0
