,TumbleDryer,DishWasher,BaseLoad
2024-01-01 00:00:00,0.001,0.0,0.31599999999999995
2024-01-01 00:15:00,0.001,0.0,0.2077333333333333
2024-01-01 00:30:00,0.001,0.0,0.053
2024-01-01 00:45:00,0.001,0.0,0.053
2024-01-01 01:00:00,0.001,0.0,0.6427999999999999
2024-01-01 01:15:00,0.001,0.0,0.11633333333333333
2024-01-01 01:30:00,0.001,0.0,0.11900000000000001
2024-01-01 01:45:00,0.001,0.0,0.11900000000000001
2024-01-01 02:00:00,0.001,0.0,0.06566666666666666
2024-01-01 02:15:00,0.001,0.0,0.243
2024-01-01 02:30:00,0.001,0.0,0.10366666666666666
2024-01-01 02:45:00,0.001,0.0,0.053
2024-01-01 03:00:00,0.001,0.0,0.11900000000000001
2024-01-01 03:15:00,0.001,0.0,0.14433333333333334
2024-01-01 03:30:00,0.001,0.0,0.243
2024-01-01 03:45:00,0.001,0.0,0.091
2024-01-01 04:00:00,0.001,0.0,0.053
2024-01-01 04:15:00,0.001,0.0,0.053
2024-01-01 04:30:00,0.001,0.0,0.157
2024-01-01 04:45:00,0.001,0.0,0.309
2024-01-01 05:00:00,0.001,0.0,0.07833333333333334
2024-01-01 05:15:00,0.001,0.0,0.053
2024-01-01 05:30:00,0.001,0.0,0.053
2024-01-01 05:45:00,0.001,0.0,0.10366666666666666
2024-01-01 06:00:00,0.001,0.0,0.309
2024-01-01 06:15:00,0.001,0.0,0.13166666666666668
2024-01-01 06:30:00,0.001,0.0,0.053
2024-01-01 06:45:00,0.001,0.0,0.43653333333333333
2024-01-01 07:00:00,0.001,0.0,0.5263256605648055
2024-01-01 07:15:00,0.001,0.0,0.38882374237267353
2024-01-01 07:30:00,0.001,0.0,0.2837550607844221
2024-01-01 07:45:00,0.001,0.0,0.2479759397255878
2024-01-01 08:00:00,0.001,0.0,0.10937593972558782
2024-01-01 08:15:00,0.001,0.0,0.21609344481047213
2024-01-01 08:30:00,0.001,0.0,0.7893750912156647
2024-01-01 08:45:00,0.001,0.0,0.187
2024-01-01 09:00:00,0.001,0.0,0.253
2024-01-01 09:15:00,0.001,0.0,0.6484666666666666
2024-01-01 09:30:00,0.001,0.0,0.26266666666666666
2024-01-01 09:45:00,0.001,0.0,0.21766666666666667
2024-01-01 10:00:00,0.001,0.0,0.053
2024-01-01 10:15:00,0.001,0.0,0.053
2024-01-01 10:30:00,0.001,0.0,0.11900000000000001
2024-01-01 10:45:00,0.001,0.0,0.6201333333333333
2024-01-01 11:00:00,0.001,0.0,0.205
2024-01-01 11:15:00,0.001,0.0,0.053
2024-01-01 11:30:00,0.001,0.0,0.053
2024-01-01 11:45:00,0.001,0.0,0.5973333333333333
2024-01-01 12:00:00,0.001,0.0,0.7790666666666667
2024-01-01 12:15:00,0.001,0.0,0.27133333333333337
2024-01-01 12:30:00,0.001,0.0,0.066
2024-01-01 12:45:00,0.001,0.0,0.056466666666666665
2024-01-01 13:00:00,0.001,0.0,0.053
2024-01-01 13:15:00,0.001,0.0,0.17966666666666667
2024-01-01 13:30:00,0.001,0.0,0.6454666666666665
2024-01-01 13:45:00,0.001,0.0,0.25226666666666664
2024-01-01 14:00:00,0.001,0.0,0.053
2024-01-01 14:15:00,0.001,0.0,0.053
2024-01-01 14:30:00,0.001,0.0,0.19233333333333333
2024-01-01 14:45:00,0.001,0.0,0.16699999999999998
