,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.08800000000000001,0.0,0.0
2024-01-01 00:15:00,0.001,0.23999999999999996,0.0,0.0
2024-01-01 00:30:00,0.001,0.126,0.0,0.0
2024-01-01 00:45:00,0.001,0.05,0.0,0.0
2024-01-01 01:00:00,0.001,0.05,0.0,0.0
2024-01-01 01:15:00,0.001,0.05,0.0,0.0
2024-01-01 01:30:00,0.001,0.2273333333333333,0.0,0.0
2024-01-01 01:45:00,0.001,0.17666666666666667,0.0,0.0
2024-01-01 02:00:00,0.001,0.05,0.0,0.0
2024-01-01 02:15:00,0.001,0.05,0.0,0.0
2024-01-01 02:30:00,0.001,0.05,0.0,0.0
2024-01-01 02:45:00,0.001,0.17666666666666667,0.0,0.0
2024-01-01 03:00:00,0.001,0.2273333333333333,0.0,0.0
2024-01-01 03:15:00,0.001,0.05,0.0,0.0
2024-01-01 03:30:00,0.001,0.05,0.0,0.0
2024-01-01 03:45:00,0.001,0.05,0.0,0.0
2024-01-01 04:00:00,0.001,0.126,0.0,0.0
2024-01-01 04:15:00,0.001,0.3732666666666667,0.0,1.7333333333333334
2024-01-01 04:30:00,0.001,0.48779999999999996,0.0,0.0
2024-01-01 04:45:00,0.001,0.5830666666666667,0.0,0.0
2024-01-01 05:00:00,0.001,0.05,0.0,0.0
2024-01-01 05:15:00,0.001,0.07533333333333332,0.0,0.8
2024-01-01 05:30:00,0.001,0.24606666666666666,0.0,0.0
2024-01-01 05:45:00,0.001,0.15166666666666667,0.0,1.6
2024-01-01 06:00:00,0.001,0.46279999999999993,0.0,1.8666666666666667
2024-01-01 06:15:00,0.001,0.5865333333333334,4.4,1.3333333333333333
2024-01-01 06:30:00,0.001,0.4498,11.0,0.0
2024-01-01 06:45:00,0.001,0.7477333333333332,2.2,0.0
2024-01-01 07:00:00,0.001,0.18933333333333333,0.0,0.0
2024-01-01 07:15:00,0.001,0.059533333333333334,0.0,0.0
2024-01-01 07:30:00,0.001,0.16986666666666667,0.0,0.0
2024-01-01 07:45:00,0.001,0.7210666666666666,0.0,0.0
2024-01-01 08:00:00,0.001,0.29066666666666663,0.0,0.0
2024-01-01 08:15:00,0.001,0.27899999999999997,0.0,0.0
2024-01-01 08:30:00,0.001,0.05,0.0,0.0
2024-01-01 08:45:00,0.001,0.05,0.0,0.0
2024-01-01 09:00:00,0.001,0.05,0.0,0.0
2024-01-01 09:15:00,0.001,0.11333333333333333,0.0,2.0
2024-01-01 09:30:00,0.001,0.23999999999999996,0.0,1.6
2024-01-01 09:45:00,0.001,0.1128,0.0,0.0
2024-01-01 10:00:00,0.001,0.063,6.6,0.0
2024-01-01 10:15:00,0.001,0.063,0.0,0.6666666666666666
2024-01-01 10:30:00,0.001,0.07566666666666667,0.0,2.0
2024-01-01 10:45:00,0.001,0.2452,0.0,2.0
2024-01-01 11:00:00,0.001,0.15133333333333335,0.0,0.6666666666666666
2024-01-01 11:15:00,0.001,0.05,0.0,0.0
2024-01-01 11:30:00,0.001,0.05,0.0,0.0
2024-01-01 11:45:00,0.001,0.05,0.0,0.0
