,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.0,0.001,0.3628237423726735,0.0
2024-01-01 00:15:00,0.0,0.001,0.12095707570600683,0.0
2024-01-01 00:30:00,0.0,0.001,0.1537021595478286,0.0
2024-01-01 00:45:00,0.0,0.001,0.09133333333333332,0.0
2024-01-01 01:00:00,0.0,0.001,0.04,0.0
2024-01-01 01:15:00,0.0,0.001,0.17933333333333332,0.0
2024-01-01 01:30:00,0.0,0.001,0.17933333333333332,0.0
2024-01-01 01:45:00,0.0,0.001,0.06933333333333333,0.0
2024-01-01 02:00:00,0.0,0.001,0.15,0.0
2024-01-01 02:15:00,0.0,0.001,0.05466666666666666,0.0
2024-01-01 02:30:00,0.0,0.001,0.18593333333333334,0.0
2024-01-01 02:45:00,0.0,0.001,0.4965333333333334,2.6666666666666665
2024-01-01 03:00:00,0.0,0.001,0.116,0.5333333333333333
2024-01-01 03:15:00,0.0,0.001,0.106,0.0
2024-01-01 03:30:00,0.0,0.001,0.128,0.0
2024-01-01 03:45:00,0.0,0.001,0.04,0.0
2024-01-01 04:00:00,0.0,0.001,0.116,0.0
2024-01-01 04:15:00,0.0,0.001,0.23,0.0
2024-01-01 04:30:00,0.0,0.001,0.05266666666666667,0.0
2024-01-01 04:45:00,0.0,0.001,0.14266666666666666,0.0
2024-01-01 05:00:00,0.0,0.001,0.09133333333333332,0.0
2024-01-01 05:15:00,0.0,0.001,0.04,0.0
2024-01-01 05:30:00,0.0,0.001,0.17933333333333332,0.0
2024-01-01 05:45:00,0.0,0.001,0.17933333333333332,0.0
2024-01-01 06:00:00,0.0,0.001,0.06933333333333333,0.0
2024-01-01 06:15:00,0.0,0.001,0.15,0.0
2024-01-01 06:30:00,0.0,0.001,0.05466666666666666,0.0
2024-01-01 06:45:00,0.0,0.001,0.05266666666666667,0.0
2024-01-01 07:00:00,0.0,0.001,0.23,0.0
2024-01-01 07:15:00,0.0,0.001,0.116,0.0
2024-01-01 07:30:00,0.0,0.001,0.106,0.0
2024-01-01 07:45:00,0.0,0.001,0.128,0.0
2024-01-01 08:00:00,0.0,0.001,0.04,0.0
2024-01-01 08:15:00,0.0,0.001,0.116,0.0
2024-01-01 08:30:00,0.0,0.001,0.23,0.0
