,TumbleDryer,DishWasher,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.3195237423726735,0.0,0.4
2024-01-01 00:15:00,0.001,0.0,0.4841904090393402,0.0,3.0
2024-01-01 00:30:00,0.001,0.0,0.44619040903934015,0.0,0.2
2024-01-01 00:45:00,0.001,0.0,0.40991955866546675,0.0,1.8
2024-01-01 01:00:00,0.001,0.0,0.46025219735291434,0.0,2.8
2024-01-01 01:15:00,0.001,0.0,0.36326802560136334,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.3510759397255878,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.3902092730589211,0.0,1.4
2024-01-01 02:00:00,0.001,0.0,0.4011446213138392,0.0,3.0
2024-01-01 02:15:00,0.001,0.0,0.23494724338965037,1.2,3.0
2024-01-01 02:30:00,0.001,0.0,0.07814,1.0,3.0
2024-01-01 02:45:00,0.001,0.0,0.051,0.0,2.8
2024-01-01 03:00:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.051,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.6028,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.5901333333333333,0.6,0.0
2024-01-01 04:00:00,0.001,0.0,0.051,0.2,1.6
2024-01-01 04:15:00,0.001,0.0,0.051,2.0,2.6
2024-01-01 04:30:00,0.001,0.0,0.051,2.6,0.0
2024-01-01 04:45:00,0.001,0.0,0.051,0.0,2.2
2024-01-01 05:00:00,0.001,0.0,0.6347333333333333,0.6,3.0
2024-01-01 05:15:00,0.001,0.0,0.6408,0.0,0.6
2024-01-01 05:30:00,0.001,0.0,0.5014666666666666,0.6,0.0
2024-01-01 05:45:00,0.001,0.0,0.18426666666666666,2.4,0.0
2024-01-01 06:00:00,0.001,0.0,0.051,1.4,0.6
2024-01-01 06:15:00,0.001,0.0,0.051,0.0,1.8
2024-01-01 06:30:00,0.001,0.0,0.051,0.0,3.0
2024-01-01 06:45:00,0.001,0.0,0.20073333333333335,0.0,0.4
2024-01-01 07:00:00,0.001,0.0,0.21600000000000003,0.0,0.0
2024-01-01 07:15:00,0.001,0.0,0.064,0.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.064,1.2,1.4
2024-01-01 07:45:00,0.001,0.0,0.2799333333333333,0.2,1.0
2024-01-01 08:00:00,0.001,0.0,0.5744,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.23204666666666668,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.5107,0.0,2.8
2024-01-01 08:45:00,0.001,0.0,0.38403333333333334,0.0,2.6
2024-01-01 09:00:00,0.001,0.0,0.32069999999999993,1.8,0.0
2024-01-01 09:15:00,0.001,0.0,0.20776666666666666,0.8,0.0
2024-01-01 09:30:00,0.001,0.0,0.1997,0.0,0.0
2024-01-01 09:45:00,0.001,0.0,0.1997,0.0,1.6
2024-01-01 10:00:00,0.001,0.0,0.4393,0.0,1.6
2024-01-01 10:15:00,0.001,0.0,0.4827666666666667,0.0,0.0
2024-01-01 10:30:00,0.001,0.0,0.3077,0.0,0.0
2024-01-01 10:45:00,0.001,0.0,0.3077,0.0,0.0
2024-01-01 11:00:00,0.001,0.0,0.3077,0.0,0.0
2024-01-01 11:15:00,0.001,0.0,0.24316666666666664,1.0,0.0
2024-01-01 11:30:00,0.001,0.0,0.23269798507841524,1.2,0.0
2024-01-01 11:45:00,0.001,0.0,0.42519344481047217,0.0,0.0
2024-01-01 12:00:00,0.2960260692674706,0.0,1.9920759397255878,0.0,0.0
2024-01-01 12:15:00,1.7701289318849094,0.0,2.365075939725588,0.0,0.0
2024-01-01 12:30:00,1.9710678818205933,0.0,0.8296759397255878,0.0,0.0
2024-01-01 12:45:00,1.9676199074311727,0.0,0.32162722219620116,0.0,0.0
2024-01-01 13:00:00,1.035182789394466,0.0,0.31873549288116193,0.0,0.0
2024-01-01 13:15:00,0.001,0.0,0.28686666666666666,0.0,0.0
2024-01-01 13:30:00,0.001,0.0,0.3402,0.0,2.4
2024-01-01 13:45:00,0.001,0.0,0.276,0.0,1.0
2024-01-01 14:00:00,0.001,0.0,0.2783647484745347,0.2,0.0
2024-01-01 14:15:00,0.001,0.0,0.28782374237267355,2.0,0.0
2024-01-01 14:30:00,0.001,0.0,0.2843570757060068,0.0,0.0
2024-01-01 14:45:00,0.001,0.0,0.20069040903934016,0.0,3.0
2024-01-01 15:00:00,0.001,0.0,0.2528237423726735,0.0,0.6
2024-01-01 15:15:00,0.001,0.0,0.38775549288116196,0.0,3.0
2024-01-01 15:30:00,0.001,0.0,0.18669999999999998,0.0,2.2
2024-01-01 15:45:00,0.001,0.0,0.18669999999999998,0.0,0.0
2024-01-01 16:00:00,0.001,0.0,0.2182521973529143,0.0,0.0
2024-01-01 16:15:00,0.001,0.0,0.3069855306862477,0.0,2.2
2024-01-01 16:30:00,0.001,0.0,0.4405855306862476,0.0,1.4
2024-01-01 16:45:00,0.001,0.0,1.0865188640195809,0.0,0.0
2024-01-01 17:00:00,0.001,0.0,0.44841956790326015,0.2,0.0
2024-01-01 17:15:00,0.001,0.0,0.4405237423726735,2.0,0.0
2024-01-01 17:30:00,0.001,0.0,0.4405237423726735,0.0,0.0
2024-01-01 17:45:00,0.001,0.0,0.3195237423726735,0.0,0.0
2024-01-01 18:00:00,0.001,0.0,0.20659040903934017,0.0,1.4
2024-01-01 18:15:00,0.001,0.0,0.5135904090393402,0.0,3.0
2024-01-01 18:30:00,0.001,0.0,0.464278214478456,0.0,1.0
2024-01-01 18:45:00,0.001,0.0,0.4795581932850069,0.0,0.0
2024-01-01 19:00:00,0.001,0.0,0.4850759397255878,0.0,1.2
2024-01-01 19:15:00,0.001,0.0,0.45854260639225447,0.0,2.6
2024-01-01 19:30:00,0.001,0.0,0.3510759397255878,0.0,0.6
2024-01-01 19:45:00,0.001,0.0,0.4079291403883331,0.0,3.0
2024-01-01 20:00:00,0.001,0.0,0.4324521973529143,0.0,0.2
2024-01-01 20:15:00,0.001,0.0,0.327718864019581,2.2,0.0
2024-01-01 20:30:00,0.001,0.0,0.33925219735291434,0.0,2.6
2024-01-01 20:45:00,0.001,0.0,0.3483337801777592,0.0,0.6
2024-01-01 21:00:00,0.001,0.0,0.3321689800785325,0.0,0.0
2024-01-01 21:15:00,0.001,0.0,0.36815040903934015,0.0,0.0
2024-01-01 21:30:00,0.001,0.0,0.5887356467451992,0.0,0.0
2024-01-01 21:45:00,0.001,0.0,0.46507593972558775,0.0,2.0
2024-01-01 22:00:00,0.001,0.0,0.3504718619856273,0.0,0.8
2024-01-01 22:15:00,0.001,0.0,0.33925219735291434,0.0,0.0
2024-01-01 22:30:00,0.001,0.0,0.34004044684442586,0.0,1.8
2024-01-01 22:45:00,0.001,0.0,0.3195237423726735,0.0,3.0
2024-01-01 23:00:00,0.001,0.0,0.4081446213138392,0.0,0.6
2024-01-01 23:15:00,0.001,0.0,0.4281426063922545,0.0,0.0
2024-01-01 23:30:00,0.001,0.0,0.25540927305892114,0.0,2.8
2024-01-01 23:45:00,0.001,0.0,0.32293469226802995,0.0,0.8
