,Occupancy,SoC_ref_EV,T_ref_WB,T_set_WB,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,P_use_WB,P_loss_WB,EV_arrival,EV_departure,EV_plugged,SoC_arr_EV
2024-05-30 00:00:00,2.0,0.0,60.0,60.0,15.0,162.25414498997088,14.999500819919994,14.992360087352427,10.631670000000002,0.0,0.0,0,0,0,0.0
2024-05-30 00:15:00,2.0,0.0,60.0,60.0,15.0,171.84866665514164,14.998700487149831,14.976114257940656,10.631670000000002,0.0,0.0,0,0,0,0.0
2024-05-30 00:30:00,2.0,0.0,59.86666666666667,60.0,15.0,169.8196795225704,14.997785457698027,14.960060781409315,10.631670000000002,669.76,0.0,0,0,0,0.0
2024-05-30 00:45:00,2.0,0.0,58.666666666666664,60.0,15.0,167.82692307208154,14.996746312485177,14.944196227966335,10.631670000000002,669.76,0.0,0,0,0,0.0
2024-05-30 01:00:00,2.0,0.0,54.4,60.0,15.0,175.90372254321437,14.995486736660844,14.928044858564084,10.36167,8037.12,0.0,0,0,0,0.0
2024-05-30 01:15:00,2.0,0.0,54.0,60.0,15.0,174.5893722786513,14.993991063269082,14.91154272510445,10.36167,0.0,0.0,0,0,0,0.0
2024-05-30 01:30:00,2.0,0.0,54.0,60.0,15.0,172.59067580367815,14.992372821212435,14.895230070159304,10.36167,0.0,0.0,0,0,0,0.0
2024-05-30 01:45:00,2.0,0.0,53.46666666666667,60.0,15.0,170.6274540252063,14.990634680596225,14.8791035286991,10.36167,669.76,0.0,0,0,0,0.0
2024-05-30 02:00:00,2.0,0.0,52.6,60.0,15.0,163.31039538227563,14.988832423283514,14.863413478580771,10.506670000000002,8037.12,0.0,0,0,0,0.0
2024-05-30 02:15:00,2.0,0.0,47.53333333333333,60.0,15.0,161.08959528337445,14.986978441415555,14.848189247838631,10.506670000000002,2009.2799999999997,0.0,0,0,0,0.0
2024-05-30 02:30:00,2.0,0.0,45.13333333333333,60.0,15.0,159.2881730875693,14.985015666870572,14.833135787047054,10.506670000000002,1339.52,0.0,0,0,0,0.0
2024-05-30 02:45:00,2.0,0.0,41.86666666666667,60.0,15.0,157.518572880642,14.982946490989253,14.818250077677458,10.506670000000002,2009.2799999999997,0.0,0,0,0,0.0
2024-05-30 03:00:00,2.0,0.0,41.0,60.0,15.0,171.1396530958773,14.980640670532718,14.802806063161887,10.09333,0.0,0.0,0,0,0,0.0
2024-05-30 03:15:00,2.0,0.0,40.86666666666667,60.0,15.0,170.35903355962873,14.978074970287281,14.786708233410415,10.09333,4018.56,0.0,0,0,0,0.0
2024-05-30 03:30:00,2.0,0.0,37.93333333333333,60.0,15.0,168.50849986750023,14.975399704633908,14.77078582041735,10.09333,4018.56,0.0,0,0,0,0.0
2024-05-30 03:45:00,2.0,0.0,37.0,60.0,15.0,166.69045798653283,14.972617310215696,14.755035742137245,10.09333,669.76,0.0,0,0,0,0.0
2024-05-30 04:00:00,1.0,0.0,33.4,60.0,15.333333333333334,173.1605564316897,14.970196959759546,14.739065617422392,9.87,5358.08,0.0,0,0,0,0.0
2024-05-30 04:15:00,1.0,0.0,32.0,60.0,17.333333333333332,171.80322922990473,14.968197403141058,14.722828953863951,9.87,0.0,0.0,0,0,0,0.0
2024-05-30 04:30:00,2.0,0.0,32.0,60.0,16.333333333333332,169.88400715664267,14.966082020331074,14.70677422704076,9.87,0.0,0.0,0,0,0,0.0
2024-05-30 04:45:00,2.0,0.0,28.6,60.0,15.0,167.99868071991403,14.963853358314314,14.690898221725623,9.87,9376.639999999998,0.0,0,0,0,0.0
2024-05-30 05:00:00,1.0,0.0,27.0,60.0,19.333333333333332,165.92628545029746,14.96273592002337,14.675206641828623,9.873333,0.0,0.0,0,0,0,0.0
2024-05-30 05:15:00,2.0,0.7633333333333336,26.4,60.0,16.666666666666668,163.86495360699095,14.962891555409405,14.659711899427906,9.873333,669.76,0.0,1,0,1,0.7388888888888889
2024-05-30 05:30:00,1.0,0.8,26.0,60.0,15.333333333333334,161.84844153292482,14.962918007663875,14.644408346708255,9.873333,0.0,0.0,0,0,1,0.0
2024-05-30 05:45:00,1.0,0.0,26.0,60.0,20.0,159.86821818521233,14.962818020774085,14.629292541372786,9.873333,0.0,0.0,0,1,0,0.0
