,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.047,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.109,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.338,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.13566666666666669,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.047,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.047,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.047,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.171,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.17466666666666666,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.237,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.047,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.047,0.0,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.078,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.19166666666666668,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.047,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.6276,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.2693333333333333,0.0,2.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.168,0.0,0.0,3.0
2024-01-01 04:30:00,0.001,0.0,0.261,0.0,0.0,2.3333333333333335
2024-01-01 04:45:00,0.001,0.0,0.2506666666666667,0.0,0.0,1.3333333333333333
2024-01-01 05:00:00,0.001,0.0,0.12766666666666668,0.0,0.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.5101333333333333,0.0,0.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.237,0.0,0.0,0.0
2024-01-01 05:45:00,0.001,0.0,0.059666666666666666,0.0,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.2072,0.0,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.08066666666666666,0.0,0.0,2.0
