,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-01-01 00:00:00,2.0,0,0,0,0.0,0.0,14.5,14.5,13.25,12.0,0.9745311985172764
2024-01-01 00:01:00,2.0,0,0,0,0.0,0.0,14.5,14.4981921682034,13.250938612454393,12.0,0.9745311985172764
2024-01-01 00:02:00,2.0,0,0,0,0.0,0.0,14.5,14.496388140477734,13.251872795718908,12.0,0.9745311985172764
2024-01-01 00:03:00,2.0,0,0,0,0.0,0.0,14.5,14.494587905492855,13.252802564108913,12.0,0.9745311985172764
2024-01-01 00:04:00,2.0,0,0,0,0.0,0.0,14.5,14.492791451953883,13.25372793189485,12.0,0.9745311985172764
2024-01-01 00:05:00,2.0,0,0,0,0.0,0.0,14.5,14.490998768601093,13.25464891330238,12.0,0.9745311985172764
2024-01-01 00:06:00,2.0,0,0,0,0.0,0.0,14.5,14.489209844209812,13.25556552251252,12.0,0.9745311985172764
2024-01-01 00:07:00,2.0,0,0,0,0.0,0.0,14.5,14.487424667590304,13.256477773661778,12.0,0.9745311985172764
2024-01-01 00:08:00,2.0,0,0,0,0.0,0.0,14.5,14.48564322758766,13.25738568084231,12.0,0.9745311985172764
2024-01-01 00:09:00,2.0,0,0,0,0.0,0.0,14.5,14.483865513081696,13.258289258102035,12.0,0.9745311985172764
2024-01-01 00:10:00,2.0,0,0,0,0.0,0.0,14.5,14.482091512986838,13.259188519444791,12.0,0.9745311985172764
2024-01-01 00:11:00,2.0,0,0,0,0.0,0.0,14.5,14.480321216252012,13.260083478830467,12.0,0.9745311985172764
2024-01-01 00:12:00,2.0,0,0,0,0.0,0.0,14.5,14.478554611860543,13.260974150175137,12.0,0.9745311985172764
2024-01-01 00:13:00,2.0,0,0,0,0.0,0.0,14.5,14.476791688830044,13.261860547351205,12.0,0.9745311985172764
2024-01-01 00:14:00,2.0,0,0,0,0.0,0.0,14.5,14.475032436212308,13.262742684187534,12.0,0.9745311985172764
2024-01-01 00:15:00,2.0,0,0,0,0.0,0.0,14.5,14.473276843093203,13.263620574469588,12.0,0.9745311985172764
2024-01-01 00:16:00,2.0,0,0,0,0.0,0.0,14.5,14.471524898592563,13.264494231939562,12.0,0.9745311985172764
2024-01-01 00:17:00,2.0,0,0,0,0.0,0.0,14.5,14.469776591864084,13.265363670296525,12.0,0.9745311985172764
2024-01-01 00:18:00,2.0,0,0,0,0.0,0.0,14.5,14.468031912095219,13.266228903196547,12.0,0.9745311985172764
2024-01-01 00:19:00,2.0,0,0,0,0.0,0.0,14.5,14.466290848507068,13.26708994425284,12.0,0.9745311985172764
2024-01-01 00:20:00,2.0,0,0,0,0.0,0.0,14.5,14.464553390354277,13.267946807035887,12.0,0.9745311985172764
2024-01-01 00:21:00,2.0,0,0,0,0.0,0.0,14.5,14.462819526924934,13.26879950507358,12.0,0.9745311985172764
2024-01-01 00:22:00,2.0,0,0,0,0.0,0.0,14.5,14.461089247540457,13.269648051851352,12.0,0.9745311985172764
2024-01-01 00:23:00,2.0,0,0,0,0.0,0.0,14.5,14.4593625415555,13.270492460812306,12.0,0.9745311985172764
2024-01-01 00:24:00,2.0,0,0,0,0.0,0.0,14.5,14.457639398357841,13.271332745357354,12.0,0.9745311985172764
2024-01-01 00:25:00,2.0,0,0,0,0.0,0.0,14.5,14.455919807368284,13.272168918845344,12.0,0.9745311985172764
2024-01-01 00:26:00,2.0,0,0,0,0.0,0.0,14.5,14.454203758040551,13.273000994593193,12.0,0.9745311985172764
2024-01-01 00:27:00,2.0,0,0,0,0.0,0.0,14.5,14.452491239861182,13.27382898587602,12.0,0.9745311985172764
2024-01-01 00:28:00,2.0,0,0,0,0.0,0.0,14.5,14.450782242349431,13.274652905927276,12.0,0.9745311985172764
2024-01-01 00:29:00,2.0,0,0,0,0.0,0.0,14.5,14.449076755057169,13.27547276793887,12.0,0.9745311985172764
2024-01-01 00:30:00,2.0,0,0,0,0.0,0.0,14.5,14.44737476756877,13.276288585061307,12.0,0.9745311985172764
2024-01-01 00:31:00,2.0,0,0,0,0.0,0.0,14.5,14.445676269501021,13.27710037040381,12.0,0.9745311985172764
2024-01-01 00:32:00,2.0,0,0,0,0.0,0.0,14.5,14.443981250503018,13.277908137034455,12.0,0.9745311985172764
2024-01-01 00:33:00,2.0,0,0,0,0.0,0.0,14.5,14.44228970025606,13.278711897980298,12.0,0.9745311985172764
2024-01-01 00:34:00,2.0,0,0,0,0.0,0.0,14.5,14.440601608473553,13.279511666227497,12.0,0.9745311985172764
2024-01-01 00:35:00,2.0,0,0,0,0.0,0.0,14.5,14.43891696490091,13.280307454721454,12.0,0.9745311985172764
2024-01-01 00:36:00,2.0,0,0,0,0.0,0.0,14.5,14.437235759315447,13.281099276366927,12.0,0.9745311985172764
2024-01-01 00:37:00,2.0,0,0,0,0.0,0.0,14.5,14.435557981526289,13.281887144028168,12.0,0.9745311985172764
2024-01-01 00:38:00,2.0,0,0,0,0.0,0.0,14.5,14.433883621374262,13.282671070529046,12.0,0.9745311985172764
2024-01-01 00:39:00,2.0,0,0,0,0.0,0.0,14.5,14.432212668731802,13.283451068653171,12.0,0.9745311985172764
2024-01-01 00:40:00,2.0,0,0,0,0.0,0.0,14.5,14.430545113502856,13.284227151144027,12.0,0.9745311985172764
2024-01-01 00:41:00,2.0,0,0,0,0.0,0.0,14.5,14.428880945622772,13.284999330705087,12.0,0.9745311985172764
2024-01-01 00:42:00,2.0,0,0,0,0.0,0.0,14.5,14.42722015505822,13.28576761999995,12.0,0.9745311985172764
2024-01-01 00:43:00,2.0,0,0,0,0.0,0.0,14.5,14.425562731807078,13.286532031652456,12.0,0.9745311985172764
2024-01-01 00:44:00,2.0,0,0,0,0.0,0.0,14.5,14.423908665898338,13.287292578246817,12.0,0.9745311985172764
2024-01-01 00:45:00,2.0,0,0,0,0.0,0.0,14.5,14.422257947392016,13.288049272327736,12.0,0.9745311985172764
2024-01-01 00:46:00,2.0,0,0,0,0.0,0.0,14.5,14.420610566379045,13.288802126400537,12.0,0.9745311985172764
2024-01-01 00:47:00,2.0,0,0,0,0.0,0.0,14.5,14.418966512981186,13.289551152931278,12.0,0.9745311985172764
2024-01-01 00:48:00,2.0,0,0,0,0.0,0.0,14.5,14.417325777350927,13.290296364346887,12.0,0.9745311985172764
2024-01-01 00:49:00,2.0,0,0,0,0.0,0.0,14.5,14.41568834967139,13.291037773035272,12.0,0.9745311985172764
2024-01-01 00:50:00,2.0,0,0,0,0.0,0.0,14.5,14.414054220156233,13.291775391345455,12.0,0.9745311985172764
2024-01-01 00:51:00,2.0,0,0,0,0.0,0.0,14.5,14.412423379049555,13.292509231587681,12.0,0.9745311985172764
