,TumbleDryer,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.0548237423726735,0.0
2024-01-01 00:15:00,0.001,0.25379232723147216,0.0
2024-01-01 00:30:00,0.001,0.29933333333333334,0.0
2024-01-01 00:45:00,0.001,0.074,0.0
2024-01-01 01:00:00,0.001,0.043,0.0
2024-01-01 01:15:00,0.001,0.043,0.0
2024-01-01 01:30:00,0.001,0.14433333333333334,0.2
2024-01-01 01:45:00,0.001,0.22366666666666665,0.0
2024-01-01 02:00:00,0.001,0.198,0.2
2024-01-01 02:15:00,0.001,0.09466666666666666,0.0
2024-01-01 02:30:00,0.001,0.043,0.0
2024-01-01 02:45:00,0.001,0.10633333333333334,0.2
2024-01-01 03:00:00,0.001,0.22033333333333335,0.0
2024-01-01 03:15:00,0.001,0.06366666666666666,0.0
2024-01-01 03:30:00,0.001,0.198,0.2
2024-01-01 03:45:00,0.001,0.11533333333333333,0.2
2024-01-01 04:00:00,0.001,0.06833333333333333,0.0
2024-01-01 04:15:00,0.001,0.233,0.2
2024-01-01 04:30:00,0.001,0.06833333333333333,0.0
2024-01-01 04:45:00,0.001,0.043,1.8
2024-01-01 05:00:00,0.001,0.198,1.2
2024-01-01 05:15:00,0.001,0.136,0.2
2024-01-01 05:30:00,0.001,0.22033333333333335,2.0
2024-01-01 05:45:00,0.001,0.10633333333333334,0.0
2024-01-01 06:00:00,0.001,0.045103479823527616,0.0
2024-01-01 06:15:00,0.001,0.07455219735291431,0.2
2024-01-01 06:30:00,0.001,0.20888553068624763,0.4
2024-01-01 06:45:00,0.001,0.3275521973529143,0.8
2024-01-01 07:00:00,0.001,0.7184855306862477,1.0
2024-01-01 07:15:00,0.001,0.08755219735291431,0.8
2024-01-01 07:30:00,0.001,0.05810347982352762,0.0
2024-01-01 07:45:00,0.001,0.056,0.2
2024-01-01 08:00:00,0.001,0.271,0.4
2024-01-01 08:15:00,0.001,0.32966666666666666,0.2
2024-01-01 08:30:00,0.001,0.056,1.6
2024-01-01 08:45:00,0.001,0.5890666666666667,0.2
2024-01-01 09:00:00,0.001,0.05513333333333333,0.2
2024-01-01 09:15:00,0.001,0.6394,0.4
2024-01-01 09:30:00,0.001,0.3254666666666667,1.0
2024-01-01 09:45:00,0.001,0.211,1.4
2024-01-01 10:00:00,0.001,0.14432,0.4
2024-01-01 10:15:00,0.001,0.7226666666666667,0.2
2024-01-01 10:30:00,0.001,1.0770000000000002,0.0
2024-01-01 10:45:00,0.001,0.4192,0.2
2024-01-01 11:00:00,0.001,0.24466666666666667,0.0
2024-01-01 11:15:00,0.001,0.3114589938981388,2.0
2024-01-01 11:30:00,0.001,0.1794904090393402,3.0
2024-01-01 11:45:00,0.001,0.21929040903934016,1.0
2024-01-01 12:00:00,0.001,0.36615707570600686,0.4
2024-01-01 12:15:00,0.001,0.2466393292654259,0.4
2024-01-01 12:30:00,0.001,0.22866666666666668,0.2
2024-01-01 12:45:00,0.001,0.3359412474575578,0.0
2024-01-01 13:00:00,0.001,2.3202376616667837,0.4
2024-01-01 13:15:00,0.001,2.760509273058921,0.0
2024-01-01 13:30:00,0.001,0.3421759397255878,0.0
2024-01-01 13:45:00,0.001,0.09070927305892114,0.2
2024-01-01 14:00:00,0.001,0.1173759397255878,0.8
2024-01-01 14:15:00,0.001,0.24137593972558782,0.6
2024-01-01 14:30:00,0.001,0.2100133121398841,0.8
2024-01-01 14:45:00,0.001,0.21388553068624763,0.0
2024-01-01 15:00:00,0.001,0.07455219735291431,0.2
2024-01-01 15:15:00,0.001,0.07455219735291431,0.0
2024-01-01 15:30:00,0.001,0.08488553068624764,0.2
2024-01-01 15:45:00,0.001,0.29078205086272,0.0
2024-01-01 16:00:00,0.001,0.303,0.0
2024-01-01 16:15:00,0.001,0.043,0.2
2024-01-01 16:30:00,0.001,0.043,0.0
2024-01-01 16:45:00,0.001,0.043,0.0
2024-01-01 17:00:00,0.001,0.06833333333333333,0.2
2024-01-01 17:15:00,0.001,0.37766666666666665,0.0
2024-01-01 17:30:00,0.001,0.1716666666666667,1.2
2024-01-01 17:45:00,0.001,0.043,0.8
2024-01-01 18:00:00,0.001,0.043,0.6
2024-01-01 18:15:00,0.001,0.043,0.2
2024-01-01 18:30:00,0.001,0.22033333333333335,0.4
2024-01-01 18:45:00,0.001,0.23033333333333333,0.2
2024-01-01 19:00:00,0.001,0.17120695964705526,0.2
2024-01-01 19:15:00,0.001,0.07455219735291431,0.2
2024-01-01 19:30:00,0.001,0.07455219735291431,0.0
2024-01-01 19:45:00,0.001,0.224132774075898,0.0
2024-01-01 20:00:00,0.001,0.18770927305892113,0.2
2024-01-01 20:15:00,0.001,0.18129535376481068,0.2
2024-01-01 20:30:00,0.001,0.19949040903934018,0.2
2024-01-01 20:45:00,0.001,0.047729496949069396,0.0
2024-01-01 21:00:00,0.001,0.14433333333333334,0.0
2024-01-01 21:15:00,0.001,0.18666666666666668,0.2
2024-01-01 21:30:00,0.001,0.09633333333333333,1.4
2024-01-01 21:45:00,0.001,0.26991391005631704,0.2
2024-01-01 22:00:00,0.001,0.33949040903934014,0.0
2024-01-01 22:15:00,0.001,0.2494904090393402,0.0
2024-01-01 22:30:00,0.001,0.3552605555295345,1.0
2024-01-01 22:45:00,0.001,0.2026464427765184,0.0
2024-01-01 23:00:00,0.001,0.11864260639225448,0.0
2024-01-01 23:15:00,0.001,0.1483759397255878,0.2
2024-01-01 23:30:00,0.001,0.2667092730589211,0.0
2024-01-01 23:45:00,0.001,0.30527245990206014,0.0
