,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.001,0.06266666666666668,0.0
2024-01-01 00:15:00,0.001,0.001,0.001,0.21466666666666664,0.0
2024-01-01 00:30:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 00:45:00,0.001,0.001,0.001,0.23999999999999996,0.0
2024-01-01 01:00:00,0.001,0.001,0.001,0.15133333333333335,0.0
2024-01-01 01:15:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 01:30:00,0.001,0.001,0.001,0.2273333333333333,0.0
2024-01-01 01:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 02:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 02:15:00,0.001,0.001,0.001,0.21466666666666664,0.0
2024-01-01 02:30:00,0.001,0.001,0.001,0.17666666666666667,0.0
2024-01-01 02:45:00,0.001,0.001,0.001,0.20199999999999999,0.0
2024-01-01 03:00:00,0.001,0.001,0.001,0.07533333333333334,0.0
2024-01-01 03:15:00,0.001,0.001,0.001,0.05,0.0
2024-01-01 03:30:00,0.001,0.001,0.001,0.05,0.1
2024-01-01 03:45:00,0.001,0.001,0.001,0.18933333333333333,0.1
2024-01-01 04:00:00,0.001,0.001,0.001,0.32866666666666666,0.1
2024-01-01 04:15:00,0.001,0.001,0.001,0.10066666666666667,1.0
2024-01-01 04:30:00,0.001,0.001,0.001,0.05,0.2
2024-01-01 04:45:00,0.001,0.001,0.001,0.05,0.9
2024-01-01 05:00:00,0.001,0.001,0.001,0.0772,1.5
2024-01-01 05:15:00,0.001,0.001,0.001,0.29933333333333334,0.2
2024-01-01 05:30:00,0.001,0.001,0.001,0.3214666666666667,0.6
2024-01-01 05:45:00,0.001,0.001,0.001,0.05,1.5
2024-01-01 06:00:00,0.001,0.001,0.001,0.05,0.2
2024-01-01 06:15:00,0.001,0.001,0.001,0.05,0.6
2024-01-01 06:30:00,0.001,0.001,0.001,0.126,0.4
2024-01-01 06:45:00,0.001,0.001,0.001,0.7730666666666667,0.2
2024-01-01 07:00:00,0.001,0.001,0.001,0.23999999999999996,0.3
2024-01-01 07:15:00,0.001,0.001,0.001,0.5424666666666667,0.4
2024-01-01 07:30:00,0.001,0.001,0.001,1.8135999999999999,0.8
2024-01-01 07:45:00,0.001,0.001,0.001,0.11760791412422451,0.2
2024-01-01 08:00:00,0.001,0.001,0.001,0.2014904090393402,0.1
2024-01-01 08:15:00,0.001,0.001,0.001,0.13815707570600685,0.4
2024-01-01 08:30:00,0.001,0.001,0.001,0.26482374237267353,0.6
2024-01-01 08:45:00,0.001,0.001,0.001,0.5004904090393402,1.5
2024-01-01 09:00:00,0.001,0.001,0.001,0.0784863312993796,1.3
2024-01-01 09:15:00,0.001,0.001,0.001,0.20199999999999999,0.1
2024-01-01 09:30:00,0.001,0.001,0.001,0.058666666666666666,0.0
2024-01-01 09:45:00,0.001,0.001,0.001,0.101,0.2
2024-01-01 10:00:00,0.001,0.001,0.001,0.253,1.5
2024-01-01 10:15:00,0.001,0.001,0.001,0.12633333333333333,0.6
2024-01-01 10:30:00,0.001,0.001,0.001,0.24033333333333334,0.2
2024-01-01 10:45:00,0.001,0.001,0.001,0.050866666666666664,0.2
2024-01-01 11:00:00,0.001,0.001,0.001,0.05,0.2
2024-01-01 11:15:00,0.001,0.001,0.001,0.06873333333333334,0.1
2024-01-01 11:30:00,0.001,0.001,0.001,0.253,0.2
2024-01-01 11:45:00,0.001,0.001,0.001,0.31633333333333336,0.1
2024-01-01 12:00:00,0.001,0.001,0.001,0.07566666666666667,0.0
2024-01-01 12:15:00,0.001,0.001,0.001,0.05346666666666667,0.4
2024-01-01 12:30:00,0.001,0.001,0.001,0.05,0.2
2024-01-01 12:45:00,0.001,0.001,0.001,0.05,0.2
2024-01-01 13:00:00,0.001,0.001,0.001,0.36666666666666664,0.6
2024-01-01 13:15:00,0.001,0.001,0.001,0.20199999999999999,1.3
2024-01-01 13:30:00,0.001,0.001,0.001,0.05,1.2
2024-01-01 13:45:00,0.001,0.001,0.001,0.05,0.1
2024-01-01 14:00:00,0.001,0.001,0.001,0.05,0.1
2024-01-01 14:15:00,0.001,0.001,0.001,0.164,0.1
2024-01-01 14:30:00,0.001,0.001,0.001,0.2653333333333333,0.0
2024-01-01 14:45:00,0.001,0.001,0.001,0.18933333333333333,1.5
2024-01-01 15:00:00,0.001,0.001,0.001,0.05,1.3
2024-01-01 15:15:00,0.001,0.001,0.001,0.05,0.3
2024-01-01 15:30:00,0.001,0.001,0.001,0.13866666666666666,0.3
2024-01-01 15:45:00,0.001,0.001,0.001,0.13866666666666666,0.9
2024-01-01 16:00:00,0.001,0.001,0.001,0.17666666666666667,0.0
2024-01-01 16:15:00,0.001,0.001,0.001,0.21466666666666664,0.1
2024-01-01 16:30:00,0.001,0.001,0.001,0.85,0.5
2024-01-01 16:45:00,0.001,0.001,0.001,1.7133333333333334,0.3
2024-01-01 17:00:00,0.001,0.001,0.001,0.1710942454236041,0.1
2024-01-01 17:15:00,0.001,0.001,0.001,0.0618237423726735,0.2
2024-01-01 17:30:00,0.001,0.001,0.001,0.16315707570600685,0.6
2024-01-01 17:45:00,0.001,0.001,0.001,0.2518237423726735,0.2
2024-01-01 18:00:00,0.001,0.001,0.001,0.13155707570600683,0.0
2024-01-01 18:15:00,0.001,0.001,0.001,0.26171406392035435,0.2
2024-01-01 18:30:00,0.001,0.001,0.001,1.2518855306862477,0.1
2024-01-01 18:45:00,0.001,0.001,0.001,2.3375521973529145,0.3
2024-01-01 19:00:00,0.001,0.001,0.001,1.4240737801777594,0.2
2024-01-01 19:15:00,0.001,0.001,0.001,0.4300426063922545,0.1
2024-01-01 19:30:00,0.001,0.001,0.001,0.4052426063922544,0.1
2024-01-01 19:45:00,0.001,0.001,0.001,0.6138304090393402,0.5
2024-01-01 20:00:00,0.001,0.001,0.001,0.3872689800785326,0.7
2024-01-01 20:15:00,0.001,0.001,0.001,0.6296092730589212,0.0
2024-01-01 20:30:00,0.001,0.001,0.001,0.40940927305892116,0.4
2024-01-01 20:45:00,0.001,0.001,0.001,0.7118915266183401,1.5
2024-01-01 21:00:00,0.001,0.001,0.001,0.38944140132159516,1.2
2024-01-01 21:15:00,0.001,0.001,0.001,0.30239040903934017,0.2
2024-01-01 21:30:00,0.001,0.001,0.001,0.3185237423726735,0.2
2024-01-01 21:45:00,0.001,0.001,0.001,0.3185237423726735,0.1
2024-01-01 22:00:00,0.001,0.001,0.001,0.49585707570600684,0.8
2024-01-01 22:15:00,0.001,0.001,0.001,0.5317580394209696,0.7
2024-01-01 22:30:00,0.001,0.001,0.001,0.3900521973529143,1.5
2024-01-01 22:45:00,0.001,0.001,0.001,0.33982869633593743,0.3
2024-01-01 23:00:00,0.001,0.001,0.001,0.3500759397255878,0.2
2024-01-01 23:15:00,0.001,0.001,0.001,0.47674260639225446,0.1
2024-01-01 23:30:00,0.001,0.001,0.001,0.37760432833345065,0.2
2024-01-01 23:45:00,0.001,0.001,0.001,0.5077354928811619,0.1
2024-01-02 00:00:00,0.001,0.001,0.001,0.4080333333333333,0.2
2024-01-02 00:15:00,0.001,0.001,0.001,0.3067,0.3
2024-01-02 00:30:00,0.001,0.001,0.001,0.42065421227449906,0.2
2024-01-02 00:45:00,0.001,0.001,0.001,0.41425219735291435,0.2
2024-01-02 01:00:00,0.001,0.001,0.001,0.33825219735291434,0.1
2024-01-02 01:15:00,0.001,0.001,0.001,0.38191886401958103,0.8
2024-01-02 01:30:00,0.001,0.001,0.001,0.343918864019581,1.2
2024-01-02 01:45:00,0.001,0.001,0.001,0.6909487175293866,0.3
2024-01-02 02:00:00,0.001,0.001,0.001,0.6868333333333332,0.1
2024-01-02 02:15:00,0.001,0.001,0.001,0.1857,0.9
2024-01-02 02:30:00,0.001,0.001,0.001,0.1857,1.1
2024-01-02 02:45:00,0.001,0.001,0.001,0.32503333333333334,1.1
2024-01-02 03:00:00,0.001,0.001,0.001,0.38836666666666664,0.1
2024-01-02 03:15:00,0.001,0.001,0.001,0.3123666666666666,0.1
2024-01-02 03:30:00,0.001,0.001,0.001,0.06809333333333334,1.4
2024-01-02 03:45:00,0.001,0.001,0.001,0.5830666666666667,0.6
2024-01-02 04:00:00,0.001,0.001,0.001,0.05,0.8
2024-01-02 04:15:00,0.001,0.001,0.001,0.18933333333333333,0.2
2024-01-02 04:30:00,0.001,0.001,0.001,0.7791333333333333,0.2
2024-01-02 04:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 05:00:00,0.001,0.001,0.001,0.05693333333333333,0.1
2024-01-02 05:15:00,0.001,0.001,0.001,0.063,0.6
2024-01-02 05:30:00,0.001,0.001,0.001,0.063,0.1
2024-01-02 05:45:00,0.001,0.001,0.001,0.329,0.3
2024-01-02 06:00:00,0.001,0.001,0.001,0.2469333333333333,0.5
2024-01-02 06:15:00,0.001,0.001,0.001,0.06266666666666668,0.0
2024-01-02 06:30:00,0.001,0.001,0.001,0.05,0.9
2024-01-02 06:45:00,0.001,0.001,0.001,0.05,0.8
2024-01-02 07:00:00,0.001,0.001,0.001,0.3864666666666666,1.5
2024-01-02 07:15:00,0.001,0.001,0.001,2.339,1.5
2024-01-02 07:30:00,0.001,0.001,0.001,2.0355333333333334,1.5
2024-01-02 07:45:00,0.001,0.001,0.001,0.192,1.5
2024-01-02 08:00:00,0.001,0.001,0.001,0.154,1.5
2024-01-02 08:15:00,0.001,0.001,0.001,0.7839333333333334,1.0
2024-01-02 08:30:00,0.001,0.001,0.001,0.101,0.1
2024-01-02 08:45:00,0.001,0.001,0.001,0.09146666666666665,0.1
2024-01-02 09:00:00,0.001,0.001,0.001,0.23999999999999996,0.6
2024-01-02 09:15:00,0.001,0.001,0.001,0.11333333333333333,0.3
2024-01-02 09:30:00,0.001,0.001,0.001,0.164,0.1
2024-01-02 09:45:00,0.001,0.001,0.001,0.11333333333333333,0.0
2024-01-02 10:00:00,0.001,0.001,0.001,0.05,0.4
2024-01-02 10:15:00,0.001,0.001,0.001,0.06266666666666668,0.1
2024-01-02 10:30:00,0.001,0.001,0.001,0.23999999999999996,0.0
2024-01-02 10:45:00,0.001,0.001,0.001,0.2273333333333333,0.1
2024-01-02 11:00:00,0.001,0.001,0.001,0.13866666666666666,0.3
2024-01-02 11:15:00,0.001,0.001,0.001,0.05,0.1
2024-01-02 11:30:00,0.001,0.001,0.001,0.3165333333333333,0.8
2024-01-02 11:45:00,0.001,0.001,0.001,0.18326666666666666,1.3
2024-01-02 12:00:00,0.001,0.001,0.001,0.29066666666666663,1.5
2024-01-02 12:15:00,0.001,0.001,0.001,0.27799999999999997,0.0
2024-01-02 12:30:00,0.001,0.001,0.001,0.4498,0.5
2024-01-02 12:45:00,0.001,0.001,0.001,0.05,0.4
2024-01-02 13:00:00,0.001,0.001,0.001,0.0594589938981388,1.5
2024-01-02 13:15:00,0.001,0.001,0.001,0.09982374237267351,0.2
2024-01-02 13:30:00,0.001,0.001,0.001,0.374191873941283,1.4
2024-01-02 13:45:00,0.001,0.001,0.001,0.6325092730589212,0.8
2024-01-02 14:00:00,0.001,0.001,0.001,0.0933759397255878,1.5
2024-01-02 14:15:00,0.001,0.001,0.001,0.08943469226802997,1.5
2024-01-02 14:30:00,0.001,0.001,0.001,0.08370146490194287,0.5
2024-01-02 14:45:00,0.001,0.001,0.001,0.21466666666666664,0.2
2024-01-02 15:00:00,0.001,0.001,0.001,0.17666666666666667,0.4
2024-01-02 15:15:00,0.001,0.001,0.001,0.21466666666666664,0.7
2024-01-02 15:30:00,0.001,0.001,0.001,0.05,1.5
2024-01-02 15:45:00,0.001,0.001,0.001,0.05,1.1
2024-01-02 16:00:00,0.001,0.001,0.001,0.2273333333333333,0.4
2024-01-02 16:15:00,0.001,0.001,0.001,0.05,0.5
2024-01-02 16:30:00,0.001,0.001,0.001,0.5511333333333333,0.5
2024-01-02 16:45:00,0.001,0.001,0.001,0.23999999999999996,1.5
2024-01-02 17:00:00,0.001,0.001,0.001,0.05,1.3
2024-01-02 17:15:00,0.001,0.001,0.001,0.5218666666666666,0.9
2024-01-02 17:30:00,0.001,0.001,0.001,2.1544666666666665,0.9
2024-01-02 17:45:00,0.001,0.001,0.001,0.05210347982352762,1.2
2024-01-02 18:00:00,0.001,0.001,0.0836337114293139,0.1575521973529143,0.8
2024-01-02 18:15:00,0.001,0.001,0.35241852509254945,0.2715521973529143,1.2
2024-01-02 18:30:00,0.001,0.001,0.759159940451665,0.6333521973529144,0.9
2024-01-02 18:45:00,0.001,0.001,0.1313832674071484,0.13221886401958097,0.3
2024-01-02 19:00:00,0.001,0.001,0.16556550051723923,0.15182205086272,0.2
2024-01-02 19:15:00,0.001,0.001,1.1133278462578373,0.1857,0.6
2024-01-02 19:30:00,0.001,0.001,0.6646948238997311,0.31703333333333333,1.5
2024-01-02 19:45:00,0.001,0.001,0.12497312234815415,0.5980333333333334,0.6
2024-01-02 20:00:00,0.001,0.001,0.2759831373647351,0.4333666666666666,0.7
2024-01-02 20:15:00,0.001,0.001,0.8756974757013526,0.3248386253817467,0.3
2024-01-02 20:30:00,0.001,0.001,0.07226666666666669,0.3500759397255878,0.1
2024-01-02 20:45:00,0.001,0.001,0.001,0.2774759397255878,0.5
2024-01-02 21:00:00,0.001,0.001,0.001,0.38687593972558776,0.3
2024-01-02 21:15:00,0.001,0.001,0.001,0.651809273058921,0.9
2024-01-02 21:30:00,0.001,0.001,0.001,0.4708092730589211,1.4
2024-01-02 21:45:00,0.001,0.001,0.001,0.39707593972558786,1.1
2024-01-02 22:00:00,0.001,0.001,0.001,0.37547593972558785,0.1
2024-01-02 22:15:00,0.001,0.001,0.001,0.37654260639225445,0.3
